ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
0.1538086:3.744141:-25.87061	1.019531:3.049805:-24.48633	0.984375:2.513672:-30.15527	0.918457:8.01123:-11.83887	-0.4258172:14.89211:-36.3663	Start	Default	
0.1538086:3.744141:-25.87061	1.019531:3.049805:-24.48633	0.984375:2.513672:-30.15527	0.918457:8.01123:-11.83887	-0.429312:14.89344:-36.4115	Start	Default	
0.1538086:3.744141:-25.87061	1.019531:3.049805:-24.48633	0.984375:2.513672:-30.15527	0.918457:8.01123:-11.83887	-0.4363635:14.8967:-36.50349	Start	Default	
0.1757813:3.779297:-25.93652	1.015137:3.076172:-24.48633	0.984375:2.500488:-30.15527	0.918457:8.01123:-11.83887	-0.4377951:14.89269:-36.51833	Start	Default	
0.1757813:3.779297:-25.93652	1.015137:3.076172:-24.48633	0.984375:2.500488:-30.15527	0.918457:8.01123:-11.83887	-0.44368:14.89572:-36.59048	Start	Default	
0.1757813:3.779297:-25.93652	1.015137:3.076172:-24.48633	0.984375:2.500488:-30.15527	0.918457:8.01123:-11.83887	-0.4455606:14.89464:-36.61929	Start	Default	
0.1757813:3.779297:-25.93652	1.015137:3.076172:-24.48633	0.984375:2.500488:-30.15527	0.918457:8.01123:-11.83887	-0.4459365:14.89384:-36.57726	Start	Default	
0.1757813:3.75293:-25.96729	1.019531:3.076172:-24.49951	0.9931641:2.487305:-30.15967	0.918457:8.01123:-11.83887	-0.435261:14.8848:-36.26453	Start	Default	
0.1757813:3.75293:-25.96729	1.019531:3.076172:-24.49951	0.9931641:2.487305:-30.15967	0.918457:8.01123:-11.83887	-0.4404142:14.87811:-36.28722	Start	Default	
0.1757813:3.744141:-25.9541	1.037109:3.076172:-24.52148	1.001953:2.465332:-30.12891	0.918457:8.01123:-11.83887	-0.3295389:14.79927:-36.07918	Start	Default	
0.1757813:3.744141:-25.9541	1.037109:3.076172:-24.52148	1.001953:2.465332:-30.12891	0.918457:8.01123:-11.83887	-0.3111231:14.36044:-36.42132	Start	Default	
0.1757813:3.744141:-25.9541	1.037109:3.076172:-24.52148	1.001953:2.465332:-30.12891	0.918457:8.01123:-11.83887	-0.5018638:14.83768:-38.07718	Start	Bottle	
0.1757813:3.744141:-25.9541	1.037109:3.076172:-24.52148	1.001953:2.465332:-30.12891	0.918457:8.01123:-11.83887	-0.3656312:14.31723:-36.81834	Start	Bottle	
-0.07910156:3.291504:-25.41797	1.199707:3.128906:-23.8623	1.037109:2.729004:-29.35107	0.918457:8.01123:-11.83887	-0.4871026:14.78895:-37.96149	Start	Bottle	
-0.07910156:3.291504:-25.41797	1.199707:3.128906:-23.8623	1.037109:2.729004:-29.35107	0.918457:8.01123:-11.83887	-0.4290326:14.53893:-37.32278	Start	Bottle	
-0.07910156:3.291504:-25.41797	1.199707:3.128906:-23.8623	1.037109:2.729004:-29.35107	0.918457:8.01123:-11.83887	-0.4235932:14.4823:-37.19452	Start	Bottle	
-0.07910156:3.291504:-25.41797	1.199707:3.128906:-23.8623	1.037109:2.729004:-29.35107	0.918457:8.01123:-11.83887	-0.4156942:14.3957:-36.96151	Start	Bottle	
-0.5932617:2.654297:-23.77002	1.379883:3.348633:-22.01221	1.243652:3.796875:-27.44824	0.918457:8.01123:-11.83887	-0.4910389:14.68104:-37.68617	ReachForBottle	Bottle	
-0.5932617:2.654297:-23.77002	1.379883:3.348633:-22.01221	1.243652:3.796875:-27.44824	0.918457:8.01123:-11.83887	-0.4525909:14.52327:-37.28519	ReachForBottle	Bottle	
-0.5932617:2.654297:-23.77002	1.379883:3.348633:-22.01221	1.243652:3.796875:-27.44824	0.918457:8.01123:-11.83887	-0.4203591:14.41424:-37.01793	ReachForBottle	Bottle	
-0.8173828:2.733398:-20.91797	1.810547:3.761719:-19.41064	1.59082:4.130859:-25.13232	0.918457:8.01123:-11.83887	-0.4611614:14.57672:-37.42366	ReachForBottle	Bottle	
-0.8173828:2.733398:-20.91797	1.810547:3.761719:-19.41064	1.59082:4.130859:-25.13232	0.918457:8.01123:-11.83887	-0.4671183:14.60052:-37.48184	ReachForBottle	Bottle	
-0.8173828:2.733398:-20.91797	1.810547:3.761719:-19.41064	1.59082:4.130859:-25.13232	0.918457:8.01123:-11.83887	-0.3769436:14.24354:-36.59565	ReachForBottle	Bottle	
-0.8173828:2.733398:-20.91797	1.810547:3.761719:-19.41064	1.59082:4.130859:-25.13232	0.918457:8.01123:-11.83887	-0.3995695:14.3313:-36.81562	ReachForBottle	Bottle	
-0.8525391:3.098145:-17.98682	2.267578:4.179199:-16.72559	1.612793:3.783691:-22.51318	0.918457:8.006836:-11.83887	-0.4341923:14.48538:-37.22586	ReachForBottle	Bottle	
-0.8525391:3.098145:-17.98682	2.267578:4.179199:-16.72559	1.612793:3.783691:-22.51318	0.918457:8.006836:-11.83887	-0.476786:14.6208:-37.54211	ReachForBottle	Bottle	
-0.8525391:3.098145:-17.98682	2.267578:4.179199:-16.72559	1.612793:3.783691:-22.51318	0.918457:8.006836:-11.83887	-0.4412475:14.50384:-37.26926	ReachForBottle	Bottle	
-0.8525391:3.098145:-17.98682	2.267578:4.179199:-16.72559	1.612793:3.783691:-22.51318	0.918457:8.006836:-11.83887	-0.4614162:14.57797:-37.42599	ReachForBottle	Bottle	
-0.7207031:3.150879:-15.60059	2.658691:4.214355:-14.58105	1.520508:3.546387:-20.07861	0.918457:8.006836:-11.83887	-0.5088788:14.73666:-37.81408	ReachForBottle	Bottle	
-0.7207031:3.150879:-15.60059	2.658691:4.214355:-14.58105	1.520508:3.546387:-20.07861	0.918457:8.006836:-11.83887	-0.5458202:14.90511:-38.22113	ReachForBottle	Bottle	
-0.7207031:3.150879:-15.60059	2.658691:4.214355:-14.58105	1.520508:3.546387:-20.07861	0.918457:8.006836:-11.83887	-0.5374154:14.86353:-38.11931	ReachForBottle	Bottle	
-0.6943359:2.983887:-13.80762	2.843262:4.174805:-13.04736	1.318359:3.357422:-18.49658	0.918457:8.006836:-11.83887	-0.5167698:14.78511:-37.92086	ReachForBottle	Bottle	
-0.6943359:2.983887:-13.80762	2.843262:4.174805:-13.04736	1.318359:3.357422:-18.49658	0.918457:8.006836:-11.83887	-0.388544:14.20294:-36.50896	ReachForBottle	Bottle	
-0.6943359:2.983887:-13.80762	2.843262:4.174805:-13.04736	1.318359:3.357422:-18.49658	0.918457:8.006836:-11.83887	-0.4716438:14.57507:-37.4008	ReachForBottle	Bottle	
-0.7119141:2.882813:-12.70898	2.970703:3.79248:-12.15967	1.037109:3.186035:-17.49023	0.918457:8.006836:-11.83447	-0.4088953:14.36747:-36.91903	Grasped	Bottle	
-0.7119141:2.882813:-12.70898	2.970703:3.79248:-12.15967	1.037109:3.186035:-17.49023	0.918457:8.006836:-11.83447	-0.4926732:14.68636:-37.65854	Grasped	Bottle	
-0.7119141:2.882813:-12.70898	2.970703:3.79248:-12.15967	1.037109:3.186035:-17.49023	0.918457:8.006836:-11.83447	-0.4300444:14.41639:-37.01737	Grasped	Bottle	
-0.7119141:2.882813:-12.70898	2.970703:3.79248:-12.15967	1.037109:3.186035:-17.49023	0.918457:8.006836:-11.83447	-0.4921623:14.66007:-37.60269	Grasped	Bottle	
-0.6635742:2.707031:-12.08496	2.895996:3.572754:-11.75098	0.8085938:3.049805:-17.02881	0.8481445:7.97168:-11.59717	-0.4034241:14.30602:-36.717	Grasped	Bottle	
-0.6635742:2.707031:-12.08496	2.895996:3.572754:-11.75098	0.8085938:3.049805:-17.02881	0.8481445:7.97168:-11.59717	-0.4148201:14.34087:-36.80886	Grasped	Bottle	
-0.6635742:2.707031:-12.08496	2.895996:3.572754:-11.75098	0.8085938:3.049805:-17.02881	0.8481445:7.97168:-11.59717	-0.4030392:14.28972:-36.66847	Grasped	Bottle	
-0.7382813:2.619141:-12.01465	2.610352:3.440918:-11.59717	0.7207031:2.94873:-16.96729	0.7822266:7.967285:-11.55322	-0.3660873:14.35944:-36.95703	Grasped	Default	
-0.7382813:2.619141:-12.01465	2.610352:3.440918:-11.59717	0.7207031:2.94873:-16.96729	0.7822266:7.967285:-11.55322	-0.162257:14.26062:-36.91627	Grasped	Default	
-0.7382813:2.619141:-12.01465	2.610352:3.440918:-11.59717	0.7207031:2.94873:-16.96729	0.7822266:7.967285:-11.55322	0.1274645:14.14068:-36.7535	Grasped	Default	
-0.7382813:2.619141:-12.01465	2.610352:3.440918:-11.59717	0.7207031:2.94873:-16.96729	0.7822266:7.967285:-11.55322	0.1636309:14.12128:-36.7118	Grasped	Default	
-0.8833008:2.632324:-12.40576	2.38623:3.462891:-11.91357	0.6723633:2.865234:-17.33203	0.5976563:8.037598:-11.99707	0.6088163:13.6502:-35.78256	Grasped	Default	
-0.8833008:2.632324:-12.40576	2.38623:3.462891:-11.91357	0.6723633:2.865234:-17.33203	0.5976563:8.037598:-11.99707	-0.2551694:14.58042:-37.57558	Grasped	Default	
-0.8833008:2.632324:-12.40576	2.38623:3.462891:-11.91357	0.6723633:2.865234:-17.33203	0.5976563:8.037598:-11.99707	-0.1771246:14.49346:-37.42447	Grasped	Default	
-0.9667969:2.702637:-13.12646	2.267578:3.629883:-12.65625	0.7075195:2.790527:-18.07031	0.5053711:8.160645:-12.78809	0.2812479:13.9833:-36.43179	Grasped	Default	
-0.9667969:2.702637:-13.12646	2.267578:3.629883:-12.65625	0.7075195:2.790527:-18.07031	0.5053711:8.160645:-12.78809	0.0622139:14.23505:-36.91282	Grasped	Default	
-0.9667969:2.702637:-13.12646	2.267578:3.629883:-12.65625	0.7075195:2.790527:-18.07031	0.5053711:8.160645:-12.78809	-0.05269814:14.36484:-37.17799	Grasped	Default	
-0.9667969:2.702637:-13.12646	2.267578:3.629883:-12.65625	0.7075195:2.790527:-18.07031	0.5053711:8.160645:-12.78809	0.05880255:14.24839:-36.96881	Grasped	Default	
-0.6943359:2.781738:-14.10205	2.487305:3.783691:-13.65381	0.9536133:2.67627:-19.00195	0.7734375:8.283691:-13.72852	-0.1917474:14.52133:-37.51569	Grasped	Default	
-0.6943359:2.781738:-14.10205	2.487305:3.783691:-13.65381	0.9536133:2.67627:-19.00195	0.7734375:8.283691:-13.72852	-0.1591024:14.48649:-37.44497	Grasped	Default	
-0.6943359:2.781738:-14.10205	2.487305:3.783691:-13.65381	0.9536133:2.67627:-19.00195	0.7734375:8.283691:-13.72852	-0.1933462:14.52361:-37.51648	Grasped	Default	
-0.6943359:2.781738:-14.10205	2.487305:3.783691:-13.65381	0.9536133:2.67627:-19.00195	0.7734375:8.283691:-13.72852	-0.1110291:14.44534:-37.37878	Grasped	Default	
0.09667969:2.865234:-14.98535	3.216797:3.911133:-14.77002	1.485352:2.623535:-19.95996	1.520508:8.411133:-14.69092	0.8928317:13.38642:-35.33003	Grasped	Default	
0.09667969:2.865234:-14.98535	3.216797:3.911133:-14.77002	1.485352:2.623535:-19.95996	1.520508:8.411133:-14.69092	0.2868769:14.00374:-36.57838	Grasped	Default	
0.09667969:2.865234:-14.98535	3.216797:3.911133:-14.77002	1.485352:2.623535:-19.95996	1.520508:8.411133:-14.69092	-0.4316908:14.79511:-38.03554	Grasped	Default	
1.296387:2.926758:-15.71045	4.407715:3.98584:-15.80713	2.359863:2.636719:-20.80811	2.746582:8.525391:-15.59619	0.1279361:14.1574:-36.85829	Grasped	Default	
1.296387:2.926758:-15.71045	4.407715:3.98584:-15.80713	2.359863:2.636719:-20.80811	2.746582:8.525391:-15.59619	0.7628302:13.40467:-35.45253	Grasped	Default	
1.296387:2.926758:-15.71045	4.407715:3.98584:-15.80713	2.359863:2.636719:-20.80811	2.746582:8.525391:-15.59619	-0.1056876:14.389:-37.3045	Grasped	Default	
1.296387:2.926758:-15.71045	4.407715:3.98584:-15.80713	2.359863:2.636719:-20.80811	2.746582:8.525391:-15.59619	-0.1051908:14.40967:-37.31798	Grasped	Default	
1.296387:2.926758:-15.71045	4.407715:3.98584:-15.80713	2.359863:2.636719:-20.80811	2.746582:8.525391:-15.59619	-0.1772063:14.46532:-37.442	Grasped	Default	
3.348633:2.95752:-16.42236	6.442383:4.016602:-16.96289	3.849609:2.693848:-21.54199	4.73291:8.626465:-16.48828	0.4707093:13.69168:-35.93352	Grasped	Default	
3.348633:2.95752:-16.42236	6.442383:4.016602:-16.96289	3.849609:2.693848:-21.54199	4.73291:8.626465:-16.48828	-0.02407181:14.31112:-37.13374	Grasped	Default	
3.348633:2.95752:-16.42236	6.442383:4.016602:-16.96289	3.849609:2.693848:-21.54199	4.73291:8.626465:-16.48828	-0.1030928:14.39117:-37.3009	Grasped	Default	
3.348633:2.95752:-16.42236	6.442383:4.016602:-16.96289	3.849609:2.693848:-21.54199	4.73291:8.626465:-16.48828	0.07801723:14.16838:-36.89485	Grasped	Default	
4.952637:2.95752:-16.7124	8.024414:3.977051:-17.62646	4.939453:2.742188:-21.78809	6.174316:8.657227:-16.91895	0.03431672:14.22475:-36.99387	Grasped	Default	
4.952637:2.95752:-16.7124	8.024414:3.977051:-17.62646	4.939453:2.742188:-21.78809	6.174316:8.657227:-16.91895	1.430635:12.59839:-33.90865	Grasped	Default	
4.952637:2.95752:-16.7124	8.024414:3.977051:-17.62646	4.939453:2.742188:-21.78809	6.174316:8.657227:-16.91895	0.09493315:14.17548:-36.8928	Grasped	Default	
6.411621:2.852051:-16.90576	9.487793:3.880371:-18.07471	5.95459:2.750977:-21.89355	7.606934:8.652832:-17.22656	-0.5207838:14.89339:-38.22289	Grasped	Default	
6.411621:2.852051:-16.90576	9.487793:3.880371:-18.07471	5.95459:2.750977:-21.89355	7.606934:8.652832:-17.22656	-0.4801381:14.85003:-38.14377	Grasped	Default	
6.411621:2.852051:-16.90576	9.487793:3.880371:-18.07471	5.95459:2.750977:-21.89355	7.606934:8.652832:-17.22656	-0.5169597:14.89409:-38.2238	Grasped	Default	
6.411621:2.852051:-16.90576	9.487793:3.880371:-18.07471	5.95459:2.750977:-21.89355	7.606934:8.652832:-17.22656	-0.3739238:14.72846:-37.92239	Grasped	Default	
7.44873:2.597168:-17.04639	10.52051:3.621094:-18.38232	6.736816:2.693848:-21.95947	8.644043:8.644043:-17.41553	-0.2462627:14.57813:-37.65166	Grasped	Default	
7.44873:2.597168:-17.04639	10.52051:3.621094:-18.38232	6.736816:2.693848:-21.95947	8.644043:8.644043:-17.41553	-0.1600357:14.47643:-37.46857	Grasped	Bottle	
7.44873:2.597168:-17.04639	10.52051:3.621094:-18.38232	6.736816:2.693848:-21.95947	8.644043:8.644043:-17.41553	-0.01215547:14.3061:-37.16483	Grasped	Bottle	
8.090332:2.307129:-17.15625	11.14893:3.375:-18.44385	7.303711:2.566406:-22.03857	9.316406:8.608887:-17.48584	-0.05858412:14.34907:-37.24044	Grasped	Bottle	
8.090332:2.307129:-17.15625	11.14893:3.375:-18.44385	7.303711:2.566406:-22.03857	9.316406:8.608887:-17.48584	-0.04199272:14.3378:-37.21497	Grasped	Bottle	
8.090332:2.307129:-17.15625	11.14893:3.375:-18.44385	7.303711:2.566406:-22.03857	9.316406:8.608887:-17.48584	-0.06905246:14.36753:-37.27171	Grasped	Bottle	
8.090332:2.307129:-17.15625	11.14893:3.375:-18.44385	7.303711:2.566406:-22.03857	9.316406:8.608887:-17.48584	-0.004739344:14.29893:-37.14926	Grasped	Bottle	
8.305664:2.074219:-17.24414	11.40381:3.313477:-18.4043	7.615723:2.443359:-22.12207	9.540527:8.595703:-17.48145	-0.04448426:14.33696:-37.21663	Grasped	Bottle	
8.305664:2.074219:-17.24414	11.40381:3.313477:-18.4043	7.615723:2.443359:-22.12207	9.540527:8.595703:-17.48145	-0.07434532:14.37802:-37.29673	Grasped	Bottle	
