ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-0.4570313:3.581543:-25.6377	1.067871:3.186035:-24.5918	0.918457:2.469727:-30.48926	0.9580078:8.050781:-12.02344	-0.4298055:14.86646:-36.59914	Start	Default	
-0.4570313:3.581543:-25.6377	1.067871:3.186035:-24.5918	0.918457:2.469727:-30.48926	0.9580078:8.050781:-12.02344	-0.4323978:14.86539:-36.6104	Start	Default	
-0.4570313:3.581543:-25.6377	1.067871:3.186035:-24.5918	0.918457:2.469727:-30.48926	0.9580078:8.050781:-12.02344	-0.4340348:14.86558:-36.62904	Start	Default	
-0.4702148:3.537598:-25.75195	1.054688:3.168457:-24.62256	0.9228516:2.465332:-30.48926	0.9580078:8.050781:-12.02344	-0.4468123:14.87365:-36.82172	Start	Default	
-0.4702148:3.537598:-25.75195	1.054688:3.168457:-24.62256	0.9228516:2.465332:-30.48926	0.9580078:8.050781:-12.02344	-0.4595659:14.87973:-36.99915	Start	Default	
-0.4702148:3.537598:-25.75195	1.054688:3.168457:-24.62256	0.9228516:2.465332:-30.48926	0.9580078:8.050781:-12.02344	-0.469188:14.88128:-37.05537	Start	Default	
-0.487793:3.533203:-25.78711	1.050293:3.159668:-24.64893	0.9228516:2.465332:-30.48926	0.9580078:8.050781:-12.02344	-0.4085695:14.89711:-37.03849	Start	Default	
-0.487793:3.533203:-25.78711	1.050293:3.159668:-24.64893	0.9228516:2.465332:-30.48926	0.9580078:8.050781:-12.02344	-0.4032063:14.89227:-36.98426	Start	Default	
-0.487793:3.533203:-25.78711	1.050293:3.159668:-24.64893	0.9228516:2.465332:-30.48926	0.9580078:8.050781:-12.02344	-0.4078314:14.89462:-37.03996	Start	Default	
-0.5009766:3.537598:-25.80908	1.019531:3.164063:-24.65771	0.918457:2.465332:-30.48486	0.9624023:8.050781:-12.02344	-0.4122185:14.89633:-37.08507	Start	Default	
-0.5009766:3.537598:-25.80908	1.019531:3.164063:-24.65771	0.918457:2.465332:-30.48486	0.9624023:8.050781:-12.02344	-0.4445446:14.84973:-36.80771	Start	Default	
-0.5009766:3.537598:-25.80908	1.019531:3.164063:-24.65771	0.918457:2.465332:-30.48486	0.9624023:8.050781:-12.02344	-0.4165544:14.66894:-36.6387	Start	Default	
-0.5009766:3.537598:-25.80908	1.019531:3.164063:-24.65771	0.918457:2.465332:-30.48486	0.9624023:8.050781:-12.02344	-0.1318473:12.65508:-30.84995	Start	Bottle	
-0.5229492:3.55957:-25.81348	1.037109:3.155273:-24.68408	0.9272461:2.460938:-30.47607	0.9624023:8.050781:-12.02344	-0.2406602:13.58526:-34.37983	Start	Bottle	
-0.5229492:3.55957:-25.81348	1.037109:3.155273:-24.68408	0.9272461:2.460938:-30.47607	0.9624023:8.050781:-12.02344	-0.4114459:14.25204:-36.39067	Start	Bottle	
-0.5229492:3.55957:-25.81348	1.037109:3.155273:-24.68408	0.9272461:2.460938:-30.47607	0.9624023:8.050781:-12.02344	-0.2416492:13.44868:-34.13206	Start	Bottle	
-0.5317383:3.638672:-25.85303	1.054688:3.159668:-24.68408	0.9228516:2.465332:-30.46289	0.9580078:8.050781:-12.02344	-0.5049448:14.63655:-37.49592	Start	Bottle	
-0.5317383:3.638672:-25.85303	1.054688:3.159668:-24.68408	0.9228516:2.465332:-30.46289	0.9580078:8.050781:-12.02344	-0.4588578:14.24205:-36.41986	Start	Bottle	
-0.5317383:3.638672:-25.85303	1.054688:3.159668:-24.68408	0.9228516:2.465332:-30.46289	0.9580078:8.050781:-12.02344	-0.340552:13.7789:-35.07113	Start	Bottle	
-0.5317383:3.603516:-25.64648	1.146973:3.273926:-24.35889	0.918457:2.62793:-29.98828	0.9580078:8.050781:-12.02344	-0.3625692:13.87855:-35.36095	Start	Bottle	
-0.5317383:3.603516:-25.64648	1.146973:3.273926:-24.35889	0.918457:2.62793:-29.98828	0.9580078:8.050781:-12.02344	-0.3531508:13.819:-35.17892	Start	Bottle	
-0.5317383:3.603516:-25.64648	1.146973:3.273926:-24.35889	0.918457:2.62793:-29.98828	0.9580078:8.050781:-12.02344	-0.1176838:12.51319:-31.50631	Start	Bottle	
