ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-0.6459961:3.366211:-26.15186	1.085449:3.172852:-24.68848	1.07666:2.702637:-30.46729	1.019531:8.006836:-11.83887	-0.3371837:14.86855:-34.81438	Start	Default	
-0.7207031:3.375:-26.13867	1.07666:3.168457:-24.68848	1.081055:2.693848:-30.46729	1.019531:8.006836:-11.83887	-0.3389776:14.86824:-34.90922	Start	Default	
-0.7207031:3.375:-26.13867	1.07666:3.168457:-24.68848	1.081055:2.693848:-30.46729	1.019531:8.006836:-11.83887	-0.3432415:14.86817:-34.9911	Start	Default	
-0.7207031:3.375:-26.13867	1.07666:3.168457:-24.68848	1.081055:2.693848:-30.46729	1.019531:8.006836:-11.83887	-0.3181015:14.85991:-34.66973	Start	Default	
-0.7954102:3.300293:-26.15625	1.063477:3.164063:-24.68848	1.081055:2.689453:-30.46729	1.019531:8.006836:-11.83887	-0.322346:14.8641:-34.83724	Start	Default	
-0.7954102:3.300293:-26.15625	1.063477:3.164063:-24.68848	1.081055:2.689453:-30.46729	1.019531:8.006836:-11.83887	-0.2938175:14.85172:-34.21485	Start	Default	
-0.7954102:3.300293:-26.15625	1.063477:3.164063:-24.68848	1.081055:2.689453:-30.46729	1.019531:8.006836:-11.83887	-0.2678302:14.8389:-33.71166	Start	Default	
-0.9360352:3.23877:-26.21777	1.037109:3.137695:-24.69727	1.081055:2.693848:-30.46729	1.019531:8.006836:-11.83887	-0.2875292:14.84868:-34.10231	Start	Default	
-0.9360352:3.23877:-26.21777	1.037109:3.137695:-24.69727	1.081055:2.693848:-30.46729	1.019531:8.006836:-11.83887	-0.3059244:14.85517:-34.48673	Start	Default	
-0.9360352:3.23877:-26.21777	1.037109:3.137695:-24.69727	1.081055:2.693848:-30.46729	1.019531:8.006836:-11.83887	-0.3154305:14.86468:-34.69929	Start	Default	
-0.9360352:3.23877:-26.21777	1.037109:3.137695:-24.69727	1.081055:2.693848:-30.46729	1.019531:8.006836:-11.83887	-0.3864385:14.8586:-36.13267	Start	Default	
-1.072266:3.208008:-26.23096	0.9975586:3.111328:-24.69287	1.081055:2.707031:-30.46729	1.019531:8.006836:-11.83887	-0.3081225:14.43352:-35.36245	Start	Default	
-1.072266:3.208008:-26.23096	0.9975586:3.111328:-24.69287	1.081055:2.707031:-30.46729	1.019531:8.006836:-11.83887	-0.3997967:14.25601:-36.22264	Start	Bottle	
-1.072266:3.208008:-26.23096	0.9975586:3.111328:-24.69287	1.081055:2.707031:-30.46729	1.019531:8.006836:-11.83887	-0.4451783:14.55464:-37.3793	Start	Bottle	
-1.072266:3.208008:-26.23096	0.9975586:3.111328:-24.69287	1.081055:2.707031:-30.46729	1.019531:8.006836:-11.83887	-0.1482786:12.88985:-33.05156	Start	Bottle	
-1.120605:3.186035:-26.20898	0.9536133:3.098145:-24.67529	1.081055:2.707031:-30.46729	1.019531:8.006836:-11.83887	-0.1576171:12.91064:-33.22987	Start	Bottle	
-1.120605:3.186035:-26.20898	0.9536133:3.098145:-24.67529	1.081055:2.707031:-30.46729	1.019531:8.006836:-11.83887	-0.387426:14.21527:-36.5245	Start	Bottle	
-1.120605:3.186035:-26.20898	0.9536133:3.098145:-24.67529	1.081055:2.707031:-30.46729	1.019531:8.006836:-11.83887	-0.2825999:13.64214:-35.01427	Start	Bottle	
-1.234863:3.111328:-26.14307	0.9360352:3.111328:-24.63135	1.054688:2.707031:-30.40576	1.019531:8.006836:-11.83887	-0.2601806:13.39201:-34.44655	Start	Bottle	
-1.234863:3.111328:-26.14307	0.9360352:3.111328:-24.63135	1.054688:2.707031:-30.40576	1.019531:8.006836:-11.83887	-0.4100777:14.21142:-36.47658	Start	Bottle	
-1.234863:3.111328:-26.14307	0.9360352:3.111328:-24.63135	1.054688:2.707031:-30.40576	1.019531:8.006836:-11.83887	-0.4028982:14.16924:-36.38242	Start	Bottle	
-1.234863:3.111328:-26.14307	0.9360352:3.111328:-24.63135	1.054688:2.707031:-30.40576	1.019531:8.006836:-11.83887	-0.3430815:13.85721:-35.60822	Start	Bottle	
-1.437012:2.654297:-25.69482	0.9799805:3.137695:-23.94141	1.050293:2.843262:-29.6499	1.019531:8.006836:-11.83887	-0.3932282:14.12891:-36.26506	Start	Bottle	
-1.437012:2.654297:-25.69482	0.9799805:3.137695:-23.94141	1.050293:2.843262:-29.6499	1.019531:8.006836:-11.83887	-0.3124055:13.64395:-35.063	Start	Bottle	
-1.437012:2.654297:-25.69482	0.9799805:3.137695:-23.94141	1.050293:2.843262:-29.6499	1.019531:8.006836:-11.83887	-0.434299:14.32627:-36.75536	Start	Bottle	
-1.437012:2.654297:-25.69482	0.9799805:3.137695:-23.94141	1.050293:2.843262:-29.6499	1.019531:8.006836:-11.83887	-0.4245088:14.26849:-36.61666	Start	Bottle	
-1.432617:2.122559:-24.28857	1.300781:3.128906:-22.52637	1.160156:3.432129:-28.05029	1.019531:8.006836:-11.83887	-0.4092999:14.19671:-36.44419	Start	Bottle	
-1.432617:2.122559:-24.28857	1.300781:3.128906:-22.52637	1.160156:3.432129:-28.05029	1.019531:8.006836:-11.83887	-0.4555111:14.44504:-37.07003	Start	Bottle	
-1.432617:2.122559:-24.28857	1.300781:3.128906:-22.52637	1.160156:3.432129:-28.05029	1.019531:8.006836:-11.83887	-0.4483163:14.39566:-36.93847	Start	Bottle	
-1.300781:2.056641:-22.14404	1.810547:3.27832:-20.59717	1.489746:4.12207:-26.21777	1.015137:8.006836:-11.83887	-0.4650396:14.49054:-37.17816	ReachForBottle	Bottle	
-1.300781:2.056641:-22.14404	1.810547:3.27832:-20.59717	1.489746:4.12207:-26.21777	1.015137:8.006836:-11.83887	-0.4705165:14.51401:-37.22962	ReachForBottle	Bottle	
-1.300781:2.056641:-22.14404	1.810547:3.27832:-20.59717	1.489746:4.12207:-26.21777	1.015137:8.006836:-11.83887	-0.4672106:14.50543:-37.20872	ReachForBottle	Bottle	
-1.059082:2.390625:-19.70508	2.20166:3.528809:-18.45703	1.634766:3.647461:-24.24902	1.015137:8.006836:-11.83887	-0.4749424:14.53117:-37.26287	ReachForBottle	Bottle	
-1.059082:2.390625:-19.70508	2.20166:3.528809:-18.45703	1.634766:3.647461:-24.24902	1.015137:8.006836:-11.83887	-0.4377112:14.33853:-36.77679	ReachForBottle	Bottle	
-1.059082:2.390625:-19.70508	2.20166:3.528809:-18.45703	1.634766:3.647461:-24.24902	1.015137:8.006836:-11.83887	-0.4336956:14.32124:-36.7243	ReachForBottle	Bottle	
-1.059082:2.390625:-19.70508	2.20166:3.528809:-18.45703	1.634766:3.647461:-24.24902	1.015137:8.006836:-11.83887	-0.4906434:14.6845:-37.64736	ReachForBottle	Bottle	
-1.059082:2.390625:-19.70508	2.20166:3.528809:-18.45703	1.634766:3.647461:-24.24902	1.015137:8.006836:-11.83887	-0.4787396:14.63241:-37.53376	ReachForBottle	Bottle	
-0.9052734:2.641113:-17.4375	2.500488:3.717773:-16.41797	1.568848:3.243164:-21.99023	1.015137:8.006836:-11.83887	-0.4951005:14.67429:-37.61485	ReachForBottle	Bottle	
-0.9052734:2.641113:-17.4375	2.500488:3.717773:-16.41797	1.568848:3.243164:-21.99023	1.015137:8.006836:-11.83887	-0.5033138:14.71587:-37.71933	ReachForBottle	Bottle	
-0.9052734:2.641113:-17.4375	2.500488:3.717773:-16.41797	1.568848:3.243164:-21.99023	1.015137:8.006836:-11.83887	-0.4872823:14.61864:-37.49109	ReachForBottle	Bottle	
-0.7822266:2.66748:-15.48633	2.8125:3.827637:-14.68652	1.485352:3.054199:-20.22363	1.015137:8.006836:-11.83887	-0.5185021:14.81012:-37.97031	ReachForBottle	Bottle	
-0.7822266:2.66748:-15.48633	2.8125:3.827637:-14.68652	1.485352:3.054199:-20.22363	1.015137:8.006836:-11.83887	-0.495714:14.69082:-37.6673	ReachForBottle	Bottle	
-0.7822266:2.66748:-15.48633	2.8125:3.827637:-14.68652	1.485352:3.054199:-20.22363	1.015137:8.006836:-11.83887	-0.5384905:14.90291:-38.20697	ReachForBottle	Bottle	
-0.6987305:2.438965:-14.20313	3.014648:3.665039:-13.5791	1.379883:2.816895:-18.99316	1.019531:8.006836:-11.83887	-0.4905476:14.66727:-37.62663	ReachForBottle	Bottle	
-0.6987305:2.438965:-14.20313	3.014648:3.665039:-13.5791	1.379883:2.816895:-18.99316	1.019531:8.006836:-11.83887	-0.5322562:14.85449:-38.08414	ReachForBottle	Bottle	
-0.6987305:2.438965:-14.20313	3.014648:3.665039:-13.5791	1.379883:2.816895:-18.99316	1.019531:8.006836:-11.83887	-0.4894038:14.65263:-37.59129	ReachForBottle	Bottle	
-0.6987305:2.438965:-14.20313	3.014648:3.665039:-13.5791	1.379883:2.816895:-18.99316	1.019531:8.006836:-11.83887	-0.5192126:14.76627:-37.86354	ReachForBottle	Bottle	
-0.8613281:2.131348:-13.36816	2.891602:3.396973:-12.73535	1.217285:2.535645:-18.1626	1.019531:8.006836:-11.83887	-0.4750171:14.55928:-37.36807	ReachForBottle	Bottle	
-0.8613281:2.131348:-13.36816	2.891602:3.396973:-12.73535	1.217285:2.535645:-18.1626	1.019531:8.006836:-11.83887	-0.5205782:14.78454:-37.89555	ReachForBottle	Bottle	
-0.8613281:2.131348:-13.36816	2.891602:3.396973:-12.73535	1.217285:2.535645:-18.1626	1.019531:8.006836:-11.83887	-0.4984703:14.65379:-37.57795	ReachForBottle	Bottle	
-0.8613281:2.131348:-13.36816	2.891602:3.396973:-12.73535	1.217285:2.535645:-18.1626	1.019531:8.006836:-11.83887	-0.4644735:14.45952:-37.08187	ReachForBottle	Bottle	
-0,9360352,1,845703,-12,84961,	2,76416,3,19043,-12,26074,	1,045898,2,280762,-17,67041,	0,9536133,7,989258,-11,75098,	-0,4739801,14,55306,-37,31763,	ReachForBottle	Bottle	
-0,9360352,1,845703,-12,84961,	2,76416,3,19043,-12,26074,	1,045898,2,280762,-17,67041,	0,9536133,7,989258,-11,75098,	-0,4925077,14,64445,-37,53652,	ReachForBottle	Bottle	
-0,9360352,1,845703,-12,84961,	2,76416,3,19043,-12,26074,	1,045898,2,280762,-17,67041,	0,9536133,7,989258,-11,75098,	-0,4688902,14,51954,-37,22766,	ReachForBottle	Bottle	
-0.769043:1.604004:-12.44531	2.645508:2.970703:-11.90039	0.9492188:2.162109:-17.31445	0.8085938:7.980469:-11.63672	-0.502906:14.68651:-37.63832	Grasped	Bottle	
-0.769043:1.604004:-12.44531	2.645508:2.970703:-11.90039	0.9492188:2.162109:-17.31445	0.8085938:7.980469:-11.63672	-0.4994828:14.63576:-37.51449	Grasped	Bottle	
