ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-1.212891:2.746582:-25.86182	0.8129883:3.115723:-24.26221	0.8920898:2.241211:-30.08057	1.30957:8.033203:-11.94434	-0.4439482:14.55812:-36.92987	Start	Bottle	
-1.204102:2.720215:-25.87061	0.8261719:3.120117:-24.271	0.8964844:2.241211:-30.08496	1.30957:8.033203:-11.94434	-0.4405032:14.53817:-36.85686	Start	Bottle	
-1.204102:2.720215:-25.87061	0.8261719:3.120117:-24.271	0.8964844:2.241211:-30.08496	1.30957:8.033203:-11.94434	-0.4408423:14.54515:-36.88055	Start	Bottle	
-1.204102:2.720215:-25.87061	0.8261719:3.120117:-24.271	0.8964844:2.241211:-30.08496	1.30957:8.033203:-11.94434	-0.4457879:14.56678:-36.9584	Start	Bottle	
-1.138184:2.698242:-25.87061	0.8481445:3.111328:-24.271	0.9008789:2.245605:-30.08496	1.30957:8.033203:-11.94434	-0.4376631:14.53402:-36.82895	Start	Bottle	
-1.138184:2.698242:-25.87061	0.8481445:3.111328:-24.271	0.9008789:2.245605:-30.08496	1.30957:8.033203:-11.94434	-0.48476:14.69811:-37.4486	Start	Bottle	
-1.138184:2.698242:-25.87061	0.8481445:3.111328:-24.271	0.9008789:2.245605:-30.08496	1.30957:8.033203:-11.94434	-0.5047104:14.74919:-37.64565	Start	Bottle	
-1.085449:2.742188:-25.85742	0.8657227:3.098145:-24.27539	0.9052734:2.241211:-30.08496	1.30957:8.033203:-11.94434	-0.5312403:14.84382:-37.99649	Start	Bottle	
-1.085449:2.742188:-25.85742	0.8657227:3.098145:-24.27539	0.9052734:2.241211:-30.08496	1.30957:8.033203:-11.94434	-0.5348015:14.87081:-38.09398	Start	Bottle	
-1.085449:2.742188:-25.85742	0.8657227:3.098145:-24.27539	0.9052734:2.241211:-30.08496	1.30957:8.033203:-11.94434	-0.5308786:14.87074:-38.09025	Start	Bottle	
-1.085449:2.742188:-25.85742	0.8657227:3.098145:-24.27539	0.9052734:2.241211:-30.08496	1.30957:8.033203:-11.94434	-0.5297824:14.86775:-38.07887	Start	Bottle	
