ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-0.8349609:4.943848:-25.6333	0.1186523:1.713867:-24.69727	0.9492188:2.047852:-30.57275	0.7910156:8.10791:-12.33105	-0.4925829:15.00272:-37.9326	Start	Default	
-0.8657227:5.097656:-25.78711	0.07470703:1.661133:-24.69287	0.9492188:2.039063:-30.56836	0.7910156:8.10791:-12.33105	-0.4931783:15.00271:-37.92756	Start	Default	
-0.8657227:5.097656:-25.78711	0.07470703:1.661133:-24.69287	0.9492188:2.039063:-30.56836	0.7910156:8.10791:-12.33105	-0.4931699:15.00323:-37.92115	Start	Default	
-0.8657227:5.097656:-25.78711	0.07470703:1.661133:-24.69287	0.9492188:2.039063:-30.56836	0.7910156:8.10791:-12.33105	-0.4977541:15.00335:-37.93441	Start	Default	
-0.7954102:5.163574:-25.92334	-0.008789063:1.586426:-24.67969	0.9580078:2.030273:-30.55957	0.7910156:8.10791:-12.32666	-0.5033789:15.0018:-37.94194	Start	Default	
-0.7954102:5.163574:-25.92334	-0.008789063:1.586426:-24.67969	0.9580078:2.030273:-30.55957	0.7910156:8.10791:-12.32666	-0.5040877:15.00032:-37.93328	Start	Default	
-0.7954102:5.163574:-25.92334	-0.008789063:1.586426:-24.67969	0.9580078:2.030273:-30.55957	0.7910156:8.10791:-12.32666	-0.5011975:15.00065:-37.93245	Start	Default	
-0.5844727:5.282227:-26.10352	-0.08789063:1.489746:-24.70166	0.9624023:2.021484:-30.55957	0.7866211:8.10791:-12.32666	-0.4934343:15.0018:-37.94438	Start	Default	
-0.5844727:5.282227:-26.10352	-0.08789063:1.489746:-24.70166	0.9624023:2.021484:-30.55957	0.7866211:8.10791:-12.32666	-0.4915986:15.0012:-37.92601	Start	Default	
-0.5844727:5.282227:-26.10352	-0.08789063:1.489746:-24.70166	0.9624023:2.021484:-30.55957	0.7866211:8.10791:-12.32666	-0.4920642:15.00066:-37.93393	Start	Default	
-0.5844727:5.282227:-26.10352	-0.08789063:1.489746:-24.70166	0.9624023:2.021484:-30.55957	0.7866211:8.10791:-12.32666	-0.5463873:14.99326:-37.95004	Start	Default	
-0.3735352:5.453613:-26.23535	-0.1450195:1.335938:-24.70166	0.9755859:2.008301:-30.55518	0.7910156:8.10791:-12.32666	-0.5469458:14.99451:-37.96509	Start	Default	
-0.3735352:5.453613:-26.23535	-0.1450195:1.335938:-24.70166	0.9755859:2.008301:-30.55518	0.7910156:8.10791:-12.32666	-0.5476134:14.99429:-37.9717	Start	Default	
-0.3735352:5.453613:-26.23535	-0.1450195:1.335938:-24.70166	0.9755859:2.008301:-30.55518	0.7910156:8.10791:-12.32666	-0.5366591:14.99629:-37.97088	Start	Default	
-0.3735352:5.453613:-26.23535	-0.1450195:1.335938:-24.70166	0.9755859:2.008301:-30.55518	0.7910156:8.10791:-12.32666	-0.5364002:14.96319:-37.86946	Start	Default	
-0.3295898:5.611816:-26.3584	-0.2021484:1.22168:-24.67969	0.9887695:1.995117:-30.54639	0.7910156:8.10791:-12.33105	-0.5480878:14.89507:-37.86534	Start	Default	
-0.3295898:5.611816:-26.3584	-0.2021484:1.22168:-24.67969	0.9887695:1.995117:-30.54639	0.7910156:8.10791:-12.33105	-0.5386207:14.82049:-37.76023	Start	Bottle	
-0.3295898:5.611816:-26.3584	-0.2021484:1.22168:-24.67969	0.9887695:1.995117:-30.54639	0.7910156:8.10791:-12.33105	-0.5364157:14.81767:-37.76695	Start	Bottle	
-0.3339844:5.651367:-26.55176	-0.2241211:1.155762:-24.64893	1.006348:1.977539:-30.5376	0.7910156:8.10791:-12.33105	-0.4644959:14.8378:-37.85514	Start	Bottle	
