ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-2.707031:3.379395:-26.52539	0.8217773:1.665527:-24.01611	0.8701172:1.92041:-30.57275	1.340332:8.138672:-12.55957	-0.4194224:14.88692:-37.91678	Start	Default	
-2.707031:3.379395:-26.52539	0.8217773:1.665527:-24.01611	0.8701172:1.92041:-30.57275	1.340332:8.138672:-12.55957	-0.4398143:14.88288:-37.9163	Start	Default	
-2.707031:3.379395:-26.52539	0.8217773:1.665527:-24.01611	0.8701172:1.92041:-30.57275	1.340332:8.138672:-12.55957	-0.4784719:14.87463:-37.90718	Start	Default	
-2.707031:3.379395:-26.52539	0.8217773:1.665527:-24.01611	0.8701172:1.92041:-30.57275	1.340332:8.138672:-12.55957	-0.4742208:14.87234:-37.88965	Start	Default	
-2.663086:3.383789:-26.53418	0.8085938:1.652344:-24.04248	0.8613281:1.929199:-30.56836	1.340332:8.138672:-12.55957	-0.421351:14.87626:-37.87501	Start	Default	
-2.663086:3.383789:-26.53418	0.8085938:1.652344:-24.04248	0.8613281:1.929199:-30.56836	1.340332:8.138672:-12.55957	-0.4164751:14.87873:-37.88538	Start	Default	
-2.663086:3.383789:-26.53418	0.8085938:1.652344:-24.04248	0.8613281:1.929199:-30.56836	1.340332:8.138672:-12.55957	-0.4131368:14.87302:-37.85989	Start	Default	
-2.663086:3.383789:-26.53418	0.8085938:1.652344:-24.04248	0.8613281:1.929199:-30.56836	1.340332:8.138672:-12.55957	-0.4165731:14.87435:-37.86607	Start	Default	
-2.540039:3.322266:-26.58252	0.8041992:1.647949:-24.06006	0.8569336:1.933594:-30.56836	1.340332:8.138672:-12.55957	-0.4306279:14.87251:-37.86418	Start	Default	
-2.540039:3.322266:-26.58252	0.8041992:1.647949:-24.06006	0.8569336:1.933594:-30.56836	1.340332:8.138672:-12.55957	-0.4752954:14.87043:-37.87493	Start	Default	
-2.540039:3.322266:-26.58252	0.8041992:1.647949:-24.06006	0.8569336:1.933594:-30.56836	1.340332:8.138672:-12.55957	-0.4902456:14.86928:-37.8774	Start	Default	
-2.293945:3.344238:-26.63965	0.7998047:1.63916:-24.07764	0.8525391:1.937988:-30.55957	1.340332:8.138672:-12.55957	-0.4895571:14.87051:-37.88471	Start	Default	
-2.293945:3.344238:-26.63965	0.7998047:1.63916:-24.07764	0.8525391:1.937988:-30.55957	1.340332:8.138672:-12.55957	-0.489038:14.87054:-37.88799	Start	Default	
-2.293945:3.344238:-26.63965	0.7998047:1.63916:-24.07764	0.8525391:1.937988:-30.55957	1.340332:8.138672:-12.55957	-0.4877054:14.86931:-37.88396	Start	Default	
-2.293945:3.344238:-26.63965	0.7998047:1.63916:-24.07764	0.8525391:1.937988:-30.55957	1.340332:8.138672:-12.55957	-0.4863586:14.87052:-37.88968	Start	Default	
-2.135742:3.331055:-26.64404	0.8085938:1.625977:-24.13477	0.8481445:1.946777:-30.55078	1.340332:8.138672:-12.55957	-0.4695165:14.87498:-37.89211	Start	Default	
-2.135742:3.331055:-26.64404	0.8085938:1.625977:-24.13477	0.8481445:1.946777:-30.55078	1.340332:8.138672:-12.55957	-0.4447262:14.88267:-37.92543	Start	Default	
-2.135742:3.331055:-26.64404	0.8085938:1.625977:-24.13477	0.8481445:1.946777:-30.55078	1.340332:8.138672:-12.55957	-0.4439813:14.87746:-37.89167	Start	Default	
-2.135742:3.331055:-26.64404	0.8085938:1.625977:-24.13477	0.8481445:1.946777:-30.55078	1.340332:8.138672:-12.55957	-0.44696:14.87795:-37.90925	Start	Default	
-2.056641:3.300293:-26.67041	0.8261719:1.577637:-24.20068	0.8393555:1.946777:-30.5376	1.340332:8.138672:-12.55957	-0.4304433:14.90655:-37.98446	Start	Default	
