ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-0.2285156:4.425293:-25.54541	3.243164:2.06543:-25.64648	1.010742:1.924805:-30.31348	0.9580078:8.01123:-11.6499	-0.5509752:14.9072:-38.29546	Start	Default	
-0.2285156:4.425293:-25.54541	3.243164:2.06543:-25.64648	1.010742:1.924805:-30.31348	0.9580078:8.01123:-11.6499	-0.5450144:14.91391:-38.16199	Start	Default	
-0.2285156:4.425293:-25.54541	3.243164:2.06543:-25.64648	1.010742:1.924805:-30.31348	0.9580078:8.01123:-11.6499	-0.5509154:14.90805:-38.27961	Start	Default	
-0.2285156:4.425293:-25.54541	3.243164:2.06543:-25.64648	1.010742:1.924805:-30.31348	0.9580078:8.01123:-11.6499	-0.5487686:14.90835:-38.27803	Start	Default	
-0.2768555:4.40332:-25.57617	3.304688:2.091797:-25.65088	1.015137:1.924805:-30.30908	0.9580078:8.01123:-11.6543	-0.5448338:14.9121:-38.20686	Start	Default	
-0.2768555:4.40332:-25.57617	3.304688:2.091797:-25.65088	1.015137:1.924805:-30.30908	0.9580078:8.01123:-11.6543	-0.5422766:14.91516:-38.14433	Start	Default	
-0.2768555:4.40332:-25.57617	3.304688:2.091797:-25.65088	1.015137:1.924805:-30.30908	0.9580078:8.01123:-11.6543	-0.5477805:14.90999:-38.24356	Start	Default	
-0.3032227:4.385742:-25.62012	3.353027:2.135742:-25.62451	1.019531:1.916016:-30.31348	0.9580078:8.01123:-11.6543	-0.54864:14.91131:-38.22039	Start	Default	
-0.3032227:4.385742:-25.62012	3.353027:2.135742:-25.62451	1.019531:1.916016:-30.31348	0.9580078:8.01123:-11.6543	-0.5473885:14.91234:-38.20105	Start	Default	
-0.3032227:4.385742:-25.62012	3.353027:2.135742:-25.62451	1.019531:1.916016:-30.31348	0.9580078:8.01123:-11.6543	-0.5495461:14.91022:-38.24358	Start	Default	
-0.3032227:4.385742:-25.62012	3.353027:2.135742:-25.62451	1.019531:1.916016:-30.31348	0.9580078:8.01123:-11.6543	-0.5505193:14.90912:-38.25768	Start	Default	
-0.3779297:4.350586:-25.7168	3.414551:2.170898:-25.58496	1.023926:1.911621:-30.31348	0.9580078:8.01123:-11.6499	-0.5524504:14.9072:-38.29643	Start	Default	
-0.3779297:4.350586:-25.7168	3.414551:2.170898:-25.58496	1.023926:1.911621:-30.31348	0.9580078:8.01123:-11.6499	-0.5526525:14.90721:-38.29659	Start	Default	
-0.3779297:4.350586:-25.7168	3.414551:2.170898:-25.58496	1.023926:1.911621:-30.31348	0.9580078:8.01123:-11.6499	-0.5528886:14.90723:-38.29651	Start	Default	
-0.4042969:4.284668:-25.78271	3.42334:2.276367:-25.56299	1.02832:1.907227:-30.31787	0.9580078:8.01123:-11.6499	-0.5535705:14.90726:-38.29664	Start	Default	
-0.4042969:4.284668:-25.78271	3.42334:2.276367:-25.56299	1.02832:1.907227:-30.31787	0.9580078:8.01123:-11.6499	-0.5538085:14.90699:-38.29663	Start	Default	
-0.4042969:4.284668:-25.78271	3.42334:2.276367:-25.56299	1.02832:1.907227:-30.31787	0.9580078:8.01123:-11.6499	-0.5537594:14.9069:-38.2966	Start	Default	
-0.4042969:4.284668:-25.78271	3.42334:2.276367:-25.56299	1.02832:1.907227:-30.31787	0.9580078:8.01123:-11.6499	-0.5498317:14.83417:-37.51171	Start	Default	
-0.4526367:4.179199:-25.98047	3.436523:2.425781:-25.52344	1.032715:1.902832:-30.32227	0.9580078:8.01123:-11.6543	-0.3063411:14.19016:-34.53489	Start	Default	
