ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-0.3208008:4.359375:-26.72314	2.421387:1.226074:-25.52783	0.8789063:2.469727:-30.28271	1.023926:8.02002:-11.69385	-0.5520072:14.908:-38.18592	Start	Default	
-0.3208008:4.359375:-26.72314	2.421387:1.226074:-25.52783	0.8789063:2.469727:-30.28271	1.023926:8.02002:-11.69385	-0.5538386:14.90712:-38.20658	Start	Default	
-0.3208008:4.359375:-26.72314	2.421387:1.226074:-25.52783	0.8789063:2.469727:-30.28271	1.023926:8.02002:-11.69385	-0.5571614:14.90569:-38.24568	Start	Default	
-0.5097656:4.183594:-26.70557	2.258789:1.168945:-25.43994	0.8613281:2.469727:-30.23438	1.023926:8.02002:-11.69385	-0.5471833:14.908:-38.18561	Start	Default	
-0.5097656:4.183594:-26.70557	2.258789:1.168945:-25.43994	0.8613281:2.469727:-30.23438	1.023926:8.02002:-11.69385	-0.5436512:14.90859:-38.16813	Start	Default	
-0.5097656:4.183594:-26.70557	2.258789:1.168945:-25.43994	0.8613281:2.469727:-30.23438	1.023926:8.02002:-11.69385	-0.5515109:14.90536:-38.25865	Start	Default	
-0.5097656:4.183594:-26.70557	2.258789:1.168945:-25.43994	0.8613281:2.469727:-30.23438	1.023926:8.02002:-11.69385	-0.5522186:14.90538:-38.2586	Start	Default	
-0.6328125:3.902344:-26.68359	2.144531:1.138184:-25.30371	0.8349609:2.509277:-30.14209	1.023926:8.02002:-11.69385	-0.5607969:14.90491:-38.27118	Start	Default	
-0.6328125:3.902344:-26.68359	2.144531:1.138184:-25.30371	0.8349609:2.509277:-30.14209	1.023926:8.02002:-11.69385	-0.5612077:14.90456:-38.27538	Start	Default	
-0.6328125:3.902344:-26.68359	2.144531:1.138184:-25.30371	0.8349609:2.509277:-30.14209	1.023926:8.02002:-11.69385	-0.5609941:14.90493:-38.27537	Start	Default	
-0.5756836:3.739746:-26.68359	2.131348:1.063477:-25.18945	0.7954102:2.544434:-30.01904	1.023926:8.02002:-11.69385	-0.5612352:14.90471:-38.27524	Start	Default	
-0.5756836:3.739746:-26.68359	2.131348:1.063477:-25.18945	0.7954102:2.544434:-30.01904	1.023926:8.02002:-11.69385	-0.5600882:14.90464:-38.27518	Start	Default	
-0.5756836:3.739746:-26.68359	2.131348:1.063477:-25.18945	0.7954102:2.544434:-30.01904	1.023926:8.02002:-11.69385	-0.5603765:14.90453:-38.27514	Start	Default	
-0.421875:3.568359:-26.70117	2.241211:0.9448242:-25.08398	0.7646484:2.566406:-29.90479	1.023926:8.02002:-11.69385	-0.5610932:14.90431:-38.27504	Start	Default	
-0.421875:3.568359:-26.70117	2.241211:0.9448242:-25.08398	0.7646484:2.566406:-29.90479	1.023926:8.02002:-11.69385	-0.5609077:14.90418:-38.27492	Start	Default	
-0.421875:3.568359:-26.70117	2.241211:0.9448242:-25.08398	0.7646484:2.566406:-29.90479	1.023926:8.02002:-11.69385	-0.5613158:14.90418:-38.27475	Start	Default	
-0.28125:3.440918:-26.70996	2.38623:0.9360352:-25.00928	0.7602539:2.592773:-29.84326	1.023926:8.02002:-11.69385	-0.5617672:14.90413:-38.27473	Start	Default	
-0.28125:3.440918:-26.70996	2.38623:0.9360352:-25.00928	0.7602539:2.592773:-29.84326	1.023926:8.02002:-11.69385	-0.5616897:14.90413:-38.27449	Start	Default	
-0.28125:3.440918:-26.70996	2.38623:0.9360352:-25.00928	0.7602539:2.592773:-29.84326	1.023926:8.02002:-11.69385	-0.5608994:14.90428:-38.27458	Start	Default	
-0.28125:3.440918:-26.70996	2.38623:0.9360352:-25.00928	0.7602539:2.592773:-29.84326	1.023926:8.02002:-11.69385	-0.5575811:14.90585:-38.23709	Start	Default	
-0.1582031:3.410156:-26.72314	2.548828:0.918457:-24.99609	0.769043:2.57959:-29.83008	1.023926:8.02002:-11.69385	-0.552864:14.90808:-38.1852	Start	Default	
-0.1582031:3.410156:-26.72314	2.548828:0.918457:-24.99609	0.769043:2.57959:-29.83008	1.023926:8.02002:-11.69385	-0.549034:14.9075:-38.19314	Start	Default	
-0.1582031:3.410156:-26.72314	2.548828:0.918457:-24.99609	0.769043:2.57959:-29.83008	1.023926:8.02002:-11.69385	-0.5454599:14.90954:-38.14932	Start	Default	
-0.01757813:3.449707:-26.70996	2.768555:0.909668:-25.00049	0.7822266:2.570801:-29.83447	1.023926:8.02002:-11.69385	-0.5462005:14.90972:-38.14502	Start	Default	
-0.01757813:3.449707:-26.70996	2.768555:0.909668:-25.00049	0.7822266:2.570801:-29.83447	1.023926:8.02002:-11.69385	-0.5461121:14.9115:-38.10822	Start	Default	
-0.01757813:3.449707:-26.70996	2.768555:0.909668:-25.00049	0.7822266:2.570801:-29.83447	1.023926:8.02002:-11.69385	-0.5834875:14.89996:-38.257	Start	Default	
-0.01757813:3.449707:-26.70996	2.768555:0.909668:-25.00049	0.7822266:2.570801:-29.83447	1.023926:8.02002:-11.69385	-0.5822601:14.89584:-38.27209	Start	Default	
-0.03955078:3.22998:-26.63086	2.86084:0.9448242:-24.95215	0.84375:2.834473:-29.78174	1.023926:8.02002:-11.69385	-0.5408131:14.80063:-37.48922	Start	Default	
-0.03955078:3.22998:-26.63086	2.86084:0.9448242:-24.95215	0.84375:2.834473:-29.78174	1.023926:8.02002:-11.69385	-0.4438517:14.81094:-37.61312	Start	Default	
-0.03955078:3.22998:-26.63086	2.86084:0.9448242:-24.95215	0.84375:2.834473:-29.78174	1.023926:8.02002:-11.69385	-0.4443462:14.81274:-37.62727	Start	Default	
-0.03955078:3.22998:-26.63086	2.86084:0.9448242:-24.95215	0.84375:2.834473:-29.78174	1.023926:8.02002:-11.69385	-0.4398454:14.80793:-37.58838	Start	Default	
-0.2636719:2.90918:-26.04199	2.619141:1.907227:-24.28418	0.9448242:3.757324:-29.33789	1.023926:8.02002:-11.69385	-0.4926259:14.82438:-37.78198	Start	Default	
-0.2636719:2.90918:-26.04199	2.619141:1.907227:-24.28418	0.9448242:3.757324:-29.33789	1.023926:8.02002:-11.69385	-0.54184:14.81778:-37.60215	Start	Default	
-0.2636719:2.90918:-26.04199	2.619141:1.907227:-24.28418	0.9448242:3.757324:-29.33789	1.023926:8.02002:-11.69385	-0.5492788:14.82521:-37.68354	Start	Default	
-0.6635742:3.924316:-25.03564	2.197266:3.388184:-23.17676	1.045898:5.097656:-28.31396	1.023926:8.02002:-11.69385	-0.5517259:14.82769:-37.70204	Start	Default	
-0.6635742:3.924316:-25.03564	2.197266:3.388184:-23.17676	1.045898:5.097656:-28.31396	1.023926:8.02002:-11.69385	-0.5511047:14.82338:-37.69644	Start	Default	
-0.6635742:3.924316:-25.03564	2.197266:3.388184:-23.17676	1.045898:5.097656:-28.31396	1.023926:8.02002:-11.69385	-0.5268129:14.82747:-37.74201	Start	Default	
-0.9667969:5.220703:-23.22949	1.87207:5.044922:-21.43213	1.138184:6.125977:-26.6748	1.023926:8.02002:-11.69385	-0.5154514:14.82329:-37.72923	ReachForBottle	Default	
-0.9667969:5.220703:-23.22949	1.87207:5.044922:-21.43213	1.138184:6.125977:-26.6748	1.023926:8.02002:-11.69385	-0.5413079:14.83134:-37.71542	ReachForBottle	Default	
-0.9667969:5.220703:-23.22949	1.87207:5.044922:-21.43213	1.138184:6.125977:-26.6748	1.023926:8.02002:-11.69385	-0.388741:14.6807:-37.28677	ReachForBottle	Default	
-0.9667969:5.220703:-23.22949	1.87207:5.044922:-21.43213	1.138184:6.125977:-26.6748	1.023926:8.02002:-11.69385	-0.3577723:14.58305:-36.89616	ReachForBottle	Default	
-1.072266:5.994141:-20.94434	1.894043:6.082031:-19.14258	1.204102:6.490723:-24.49951	1.023926:8.02002:-11.69385	-0.3649303:14.58765:-36.90691	ReachForBottle	Default	
