ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-1.318359:0.2504883:-25.21143	1.933594:2.816895:-26.06836	1.766602:2.118164:-30.6167	0.9667969:7.998047:-11.61035	-0.4207621:14.94386:-37.65384	Start	Default	
-1.30957:0.5712891:-25.18506	1.898438:2.786133:-26.05078	1.762207:2.122559:-30.6167	0.9667969:7.998047:-11.61035	-0.4202841:14.94496:-37.65178	Start	Default	
-1.30957:0.5712891:-25.18506	1.898438:2.786133:-26.05078	1.762207:2.122559:-30.6167	0.9667969:7.998047:-11.61035	-0.4197384:14.94421:-37.64636	Start	Default	
-1.30957:0.5712891:-25.18506	1.898438:2.786133:-26.05078	1.762207:2.122559:-30.6167	0.9667969:7.998047:-11.61035	-0.4198369:14.9448:-37.65577	Start	Default	
-1.226074:0.9580078:-25.26416	1.92041:2.711426:-26.02881	1.762207:2.131348:-30.62109	0.9667969:7.998047:-11.61035	-0.4228334:14.94588:-37.66529	Start	Default	
-1.226074:0.9580078:-25.26416	1.92041:2.711426:-26.02881	1.762207:2.131348:-30.62109	0.9667969:7.998047:-11.61035	-0.4318361:14.94653:-37.67354	Start	Default	
-1.226074:0.9580078:-25.26416	1.92041:2.711426:-26.02881	1.762207:2.131348:-30.62109	0.9667969:7.998047:-11.61035	-0.4361485:14.94618:-37.67374	Start	Default	
-1.226074:0.9580078:-25.26416	1.92041:2.711426:-26.02881	1.762207:2.131348:-30.62109	0.9667969:7.998047:-11.61035	-0.4378459:14.94618:-37.6707	Start	Default	
-1.190918:1.190918:-25.31689	1.858887:2.693848:-25.97168	1.766602:2.140137:-30.62549	0.9667969:7.998047:-11.61035	-0.4328985:14.94748:-37.68006	Start	Default	
-1.190918:1.190918:-25.31689	1.858887:2.693848:-25.97168	1.766602:2.140137:-30.62549	0.9667969:7.998047:-11.61035	-0.4300273:14.94687:-37.68174	Start	Default	
-1.190918:1.190918:-25.31689	1.858887:2.693848:-25.97168	1.766602:2.140137:-30.62549	0.9667969:7.998047:-11.61035	-0.4263482:14.94754:-37.68464	Start	Default	
-1.204102:1.59082:-25.35645	1.836914:2.680664:-25.94531	1.762207:2.140137:-30.62988	0.9667969:7.998047:-11.61035	-0.4213689:14.94908:-37.67114	Start	Default	
-1.204102:1.59082:-25.35645	1.836914:2.680664:-25.94531	1.762207:2.140137:-30.62988	0.9667969:7.998047:-11.61035	-0.420809:14.94896:-37.67292	Start	Default	
-1.204102:1.59082:-25.35645	1.836914:2.680664:-25.94531	1.762207:2.140137:-30.62988	0.9667969:7.998047:-11.61035	-0.4191499:14.94966:-37.67731	Start	Default	
-1.204102:1.59082:-25.35645	1.836914:2.680664:-25.94531	1.762207:2.140137:-30.62988	0.9667969:7.998047:-11.61035	-0.4204667:14.94598:-37.70862	Start	Default	
