ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-1.287598:1.041504:-26.56934	0.8085938:2.416992:-26.42871	1.437012:2.236816:-30.67822	0.9448242:8.002441:-11.6543	-0.4846058:14.94493:-37.67749	Start	Default	
-1.287598:1.041504:-26.56934	0.8085938:2.416992:-26.42871	1.437012:2.236816:-30.67822	0.9448242:8.002441:-11.6543	-0.4878781:14.94581:-37.68777	Start	Default	
-1.287598:1.041504:-26.56934	0.8085938:2.416992:-26.42871	1.437012:2.236816:-30.67822	0.9448242:8.002441:-11.6543	-0.4919034:14.94697:-37.70839	Start	Default	
-1.199707:1.120605:-26.56494	0.8393555:2.421387:-26.39795	1.437012:2.228027:-30.67822	0.9448242:8.002441:-11.6543	-0.4907051:14.94675:-37.68748	Start	Default	
-1.199707:1.120605:-26.56494	0.8393555:2.421387:-26.39795	1.437012:2.228027:-30.67822	0.9448242:8.002441:-11.6543	-0.4906626:14.94619:-37.66972	Start	Default	
-1.199707:1.120605:-26.56494	0.8393555:2.421387:-26.39795	1.437012:2.228027:-30.67822	0.9448242:8.002441:-11.6543	-0.4897434:14.94661:-37.66925	Start	Default	
-1.120605:1.26123:-26.46387	0.8701172:2.526855:-26.31445	1.437012:2.223633:-30.67383	0.9492188:8.002441:-11.6543	-0.4886681:14.94677:-37.67036	Start	Default	
-1.120605:1.26123:-26.46387	0.8701172:2.526855:-26.31445	1.437012:2.223633:-30.67383	0.9492188:8.002441:-11.6543	-0.4890598:14.94703:-37.67266	Start	Default	
-1.120605:1.26123:-26.46387	0.8701172:2.526855:-26.31445	1.437012:2.223633:-30.67383	0.9492188:8.002441:-11.6543	-0.4895075:14.94682:-37.67357	Start	Default	
-1.120605:1.26123:-26.46387	0.8701172:2.526855:-26.31445	1.437012:2.223633:-30.67383	0.9492188:8.002441:-11.6543	-0.4895788:14.94723:-37.66933	Start	Default	
-1.098633:1.476563:-26.31006	0.9448242:2.66748:-26.25732	1.437012:2.223633:-30.67822	0.9492188:8.002441:-11.6543	-0.4902302:14.94709:-37.67399	Start	Default	
-1.098633:1.476563:-26.31006	0.9448242:2.66748:-26.25732	1.437012:2.223633:-30.67822	0.9492188:8.002441:-11.6543	-0.4898188:14.9464:-37.6772	Start	Default	
-1.098633:1.476563:-26.31006	0.9448242:2.66748:-26.25732	1.437012:2.223633:-30.67822	0.9492188:8.002441:-11.6543	-0.4891957:14.94653:-37.67799	Start	Default	
-1.098633:1.476563:-26.31006	0.9448242:2.66748:-26.25732	1.437012:2.223633:-30.67822	0.9492188:8.002441:-11.6543	-0.4883598:14.94765:-37.68227	Start	Default	
-1.067871:1.6875:-26.16943	0.9624023:2.737793:-26.17383	1.441406:2.223633:-30.68701	0.9448242:8.002441:-11.6543	-0.4863113:14.94638:-37.67892	Start	Default	
