ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-1.516113:3.634277:-26.5166	0.7910156:1.573242:-24.68848	1.02832:2.206055:-30.36182	1.010742:8.116699:-12.38818	-0.02880899:14.64757:-37.00531	Start	Bottle	
-1.55127:3.634277:-26.55176	0.7822266:1.564453:-24.70605	1.041504:2.162109:-30.36182	1.010742:8.116699:-12.38818	-0.03190803:14.71393:-37.23397	Start	Default	
-1.55127:3.634277:-26.55176	0.7822266:1.564453:-24.70605	1.041504:2.162109:-30.36182	1.010742:8.116699:-12.38818	-0.04267275:14.69833:-37.18076	Start	Default	
-1.55127:3.634277:-26.55176	0.7822266:1.564453:-24.70605	1.041504:2.162109:-30.36182	1.010742:8.116699:-12.38818	-0.04042916:14.69377:-37.17278	Start	Bottle	
-1.586426:3.55957:-26.66162	0.7954102:1.555664:-24.71045	1.054688:2.148926:-30.35742	1.015137:8.116699:-12.38818	-0.01863669:14.64508:-37.00501	Start	Bottle	
-1.586426:3.55957:-26.66162	0.7954102:1.555664:-24.71045	1.054688:2.148926:-30.35742	1.015137:8.116699:-12.38818	-0.04860878:14.65404:-37.05275	Start	Bottle	
-1.586426:3.55957:-26.66162	0.7954102:1.555664:-24.71045	1.054688:2.148926:-30.35742	1.015137:8.116699:-12.38818	0.04433733:14.61738:-36.92853	Start	Bottle	
-1.612793:3.581543:-26.69238	0.8393555:1.55127:-24.74121	1.059082:2.135742:-30.35742	1.015137:8.116699:-12.38818	0.06068156:14.60966:-36.91433	Start	Bottle	
-1.612793:3.581543:-26.69238	0.8393555:1.55127:-24.74121	1.059082:2.135742:-30.35742	1.015137:8.116699:-12.38818	0.05788458:14.62618:-36.96362	Start	Bottle	
-1.612793:3.581543:-26.69238	0.8393555:1.55127:-24.74121	1.059082:2.135742:-30.35742	1.015137:8.116699:-12.38818	0.02826063:14.63056:-36.98654	Start	Bottle	
-1.612793:3.581543:-26.69238	0.8393555:1.55127:-24.74121	1.059082:2.135742:-30.35742	1.015137:8.116699:-12.38818	-0.04953056:14.64274:-37.0276	Start	Bottle	
-1.63916:3.55957:-26.78027	0.8964844:1.511719:-24.82031	1.072266:2.118164:-30.36621	1.010742:8.116699:-12.38818	-0.04846499:14.64305:-37.016	Start	Bottle	
-1.63916:3.55957:-26.78027	0.8964844:1.511719:-24.82031	1.072266:2.118164:-30.36621	1.010742:8.116699:-12.38818	-0.04925531:14.63643:-37.01373	Start	Bottle	
-1.63916:3.55957:-26.78027	0.8964844:1.511719:-24.82031	1.072266:2.118164:-30.36621	1.010742:8.116699:-12.38818	-0.005511833:14.65643:-37.07028	Start	Bottle	
-1.705078:3.524414:-26.81982	0.909668:1.480957:-24.84229	1.089844:2.096191:-30.37061	1.010742:8.116699:-12.38818	-0.02265318:14.65931:-37.08263	Start	Bottle	
-1.705078:3.524414:-26.81982	0.909668:1.480957:-24.84229	1.089844:2.096191:-30.37061	1.010742:8.116699:-12.38818	-0.0346758:14.66062:-37.08335	Start	Bottle	
-1.705078:3.524414:-26.81982	0.909668:1.480957:-24.84229	1.089844:2.096191:-30.37061	1.010742:8.116699:-12.38818	-0.03656934:14.66024:-37.08548	Start	Bottle	
-1.705078:3.524414:-26.81982	0.909668:1.480957:-24.84229	1.089844:2.096191:-30.37061	1.010742:8.116699:-12.38818	-0.03053269:14.64988:-37.04755	Start	Bottle	
-1.775391:3.462891:-26.8418	0.8876953:1.45459:-24.85986	1.089844:2.078613:-30.37061	1.010742:8.116699:-12.38818	-0.02243707:14.64739:-37.04147	Start	Bottle	
-1.775391:3.462891:-26.8418	0.8876953:1.45459:-24.85986	1.089844:2.078613:-30.37061	1.010742:8.116699:-12.38818	-0.02108013:14.63781:-37.00263	Start	Bottle	
-1.775391:3.462891:-26.8418	0.8876953:1.45459:-24.85986	1.089844:2.078613:-30.37061	1.010742:8.116699:-12.38818	-0.01743338:14.63331:-36.99405	Start	Bottle	
-1.753418:3.414551:-26.86377	0.8701172:1.428223:-24.86426	1.089844:2.069824:-30.36621	1.010742:8.116699:-12.38818	-0.01536526:14.64771:-37.053	Start	Bottle	
-1.753418:3.414551:-26.86377	0.8701172:1.428223:-24.86426	1.089844:2.069824:-30.36621	1.010742:8.116699:-12.38818	-0.0139468:14.64434:-37.04369	Start	Bottle	
-1.753418:3.414551:-26.86377	0.8701172:1.428223:-24.86426	1.089844:2.069824:-30.36621	1.010742:8.116699:-12.38818	-0.0159827:14.64202:-37.0415	Start	Bottle	
-1.753418:3.414551:-26.86377	0.8701172:1.428223:-24.86426	1.089844:2.069824:-30.36621	1.010742:8.116699:-12.38818	-0.02768146:14.67598:-37.14788	Start	Bottle	
-1.766602:3.392578:-26.86377	0.8305664:1.410645:-24.85986	1.085449:2.06543:-30.36182	1.010742:8.116699:-12.38818	-0.05548195:14.68472:-37.18043	Start	Bottle	
-1.766602:3.392578:-26.86377	0.8305664:1.410645:-24.85986	1.085449:2.06543:-30.36182	1.010742:8.116699:-12.38818	-0.06547256:14.69313:-37.20649	Start	Bottle	
-1.766602:3.392578:-26.86377	0.8305664:1.410645:-24.85986	1.085449:2.06543:-30.36182	1.010742:8.116699:-12.38818	-0.06830278:14.7063:-37.25277	Start	Bottle	
-1.766602:3.392578:-26.86377	0.8305664:1.410645:-24.85986	1.085449:2.06543:-30.36182	1.010742:8.116699:-12.38818	-0.06568322:14.71322:-37.27476	Start	Bottle	
-1.749023:3.370605:-26.86377	0.8217773:1.401855:-24.85107	1.081055:2.069824:-30.35742	1.010742:8.116699:-12.38818	-0.05464011:14.68676:-37.17061	Start	Bottle	
-1.749023:3.370605:-26.86377	0.8217773:1.401855:-24.85107	1.081055:2.069824:-30.35742	1.010742:8.116699:-12.38818	-0.0471958:14.58977:-37.05362	Start	Bottle	
