ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-4.047363:-0.06591797:-26.81543	-1.652344:3.102539:-25.66846	0.8613281:2.425781:-30.37061	1.054688:8.143066:-12.52441	-0.5612977:14.84989:-37.77623	Start	Default	
-3.880371:-0.3032227:-26.86377	-1.643555:3.128906:-25.69922	0.9228516:2.43457:-30.36182	1.054688:8.143066:-12.52441	-0.5612977:14.84989:-37.77623	Start	Default	
-3.880371:-0.3032227:-26.86377	-1.643555:3.128906:-25.69922	0.9228516:2.43457:-30.36182	1.054688:8.143066:-12.52441	-0.5612977:14.84989:-37.77623	Start	Default	
-3.880371:-0.3032227:-26.86377	-1.643555:3.128906:-25.69922	0.9228516:2.43457:-30.36182	1.054688:8.143066:-12.52441	-0.5205721:14.82199:-38.10111	Start	Default	
-3.599121:-0.9492188:-27.39111	-1.617188:3.572754:-25.83545	1.02832:2.39502:-30.41455	1.054688:8.143066:-12.52441	-0.5901313:14.86401:-37.98575	Start	Default	
-3.599121:-0.9492188:-27.39111	-1.617188:3.572754:-25.83545	1.02832:2.39502:-30.41455	1.054688:8.143066:-12.52441	-0.5914003:14.87393:-37.96922	Start	Default	
-3.599121:-0.9492188:-27.39111	-1.617188:3.572754:-25.83545	1.02832:2.39502:-30.41455	1.054688:8.143066:-12.52441	-0.5463262:14.8957:-37.37689	Start	Default	
-3.599121:-0.9492188:-27.39111	-1.617188:3.572754:-25.83545	1.02832:2.39502:-30.41455	1.054688:8.143066:-12.52441	-0.5059032:14.89603:-37.06744	Start	Default	
-3.106934:-1.164551:-28.13379	-1.740234:4.104492:-25.94971	1.146973:2.131348:-30.48047	1.054688:8.143066:-12.52441	-0.4506158:14.85993:-37.42644	Start	Default	
-3.106934:-1.164551:-28.13379	-1.740234:4.104492:-25.94971	1.146973:2.131348:-30.48047	1.054688:8.143066:-12.52441	-0.4725992:14.86071:-37.62836	Start	Default	
-3.106934:-1.164551:-28.13379	-1.740234:4.104492:-25.94971	1.146973:2.131348:-30.48047	1.054688:8.143066:-12.52441	-0.4795449:14.8557:-37.72003	Start	Default	
-2.95752:-1.78418:-28.48096	-1.850098:4.570313:-25.89258	1.177734:1.929199:-30.48926	1.054688:8.143066:-12.52441	-0.4776854:14.85908:-37.68323	Start	Default	
-2.95752:-1.78418:-28.48096	-1.850098:4.570313:-25.89258	1.177734:1.929199:-30.48926	1.054688:8.143066:-12.52441	-0.5219966:14.87606:-37.72957	Start	Default	
-2.95752:-1.78418:-28.48096	-1.850098:4.570313:-25.89258	1.177734:1.929199:-30.48926	1.054688:8.143066:-12.52441	-0.5332246:14.88393:-37.67229	Start	Default	
-2.95752:-1.78418:-28.48096	-1.850098:4.570313:-25.89258	1.177734:1.929199:-30.48926	1.054688:8.143066:-12.52441	-0.5358495:14.88759:-37.61586	Start	Default	
-3,027832,-2,245605,-28,69629,	-2,254395,4,948242,-25,73877,	1,120605,1,775391,-30,50684,	1,054688,8,143066,-12,52441,	-0,533791,14,88333,-37,62617,	ReachForBottle	Default	
-3,027832,-2,245605,-28,69629,	-2,254395,4,948242,-25,73877,	1,120605,1,775391,-30,50684,	1,054688,8,143066,-12,52441,	-0,4443888,14,86867,-37,56349,	ReachForBottle	Default	
-3,027832,-2,245605,-28,69629,	-2,254395,4,948242,-25,73877,	1,120605,1,775391,-30,50684,	1,054688,8,143066,-12,52441,	-0,4657655,14,84564,-37,76505,	ReachForBottle	Default	
-2,988281,-2,680664,-28,85889,	-2,53125,4,952637,-25,62891,	1,067871,1,749023,-30,46289,	1,054688,8,143066,-12,52441,	-0,4545183,14,85169,-37,69865,	ReachForBottle	Default	
-2,988281,-2,680664,-28,85889,	-2,53125,4,952637,-25,62891,	1,067871,1,749023,-30,46289,	1,054688,8,143066,-12,52441,	-0,4526604,14,85126,-37,65127,	ReachForBottle	Default	
-2,988281,-2,680664,-28,85889,	-2,53125,4,952637,-25,62891,	1,067871,1,749023,-30,46289,	1,054688,8,143066,-12,52441,	-0,5014027,14,86691,-37,67096,	ReachForBottle	Default	
-2,988281,-2,680664,-28,85889,	-2,53125,4,952637,-25,62891,	1,067871,1,749023,-30,46289,	1,054688,8,143066,-12,52441,	-0,5538486,14,88036,-37,67965,	ReachForBottle	Default	
-2,816895,-2,170898,-28,84131,	-2,583984,4,895508,-25,70801,	1,072266,1,766602,-30,44092,	1,054688,8,143066,-12,52441,	-0,5511457,14,88166,-37,67031,	ReachForBottle	Default	
-2,816895,-2,170898,-28,84131,	-2,583984,4,895508,-25,70801,	1,072266,1,766602,-30,44092,	1,054688,8,143066,-12,52441,	-0,5479702,14,87729,-37,72709,	ReachForBottle	Default	
-2,816895,-2,170898,-28,84131,	-2,583984,4,895508,-25,70801,	1,072266,1,766602,-30,44092,	1,054688,8,143066,-12,52441,	-0,5226651,14,8646,-37,75449,	ReachForBottle	Default	
-2.724609:-2.359863:-28.73584	-2.557617:4.957031:-25.77832	1.089844:1.801758:-30.44531	1.054688:8.143066:-12.52441	-0.5145986:14.86274:-37.77161	Start	Default	
-2.724609:-2.359863:-28.73584	-2.557617:4.957031:-25.77832	1.089844:1.801758:-30.44531	1.054688:8.143066:-12.52441	-0.4786763:14.85902:-37.6404	Start	Default	
-2.724609:-2.359863:-28.73584	-2.557617:4.957031:-25.77832	1.089844:1.801758:-30.44531	1.054688:8.143066:-12.52441	-0.4764815:14.85196:-37.7011	Start	Default	
-2.724609:-2.359863:-28.73584	-2.557617:4.957031:-25.77832	1.089844:1.801758:-30.44531	1.054688:8.143066:-12.52441	-0.5638094:14.87371:-37.81263	Start	Default	
-2,737793,-2,34668,-28,73145,	-2,500488,5,018555,-25,80908,	1,107422,1,762207,-30,41455,	1,054688,8,143066,-12,52441,	-0,5542695,14,85375,-37,81308,	ReachForBottle	Default	
-2,737793,-2,34668,-28,73145,	-2,500488,5,018555,-25,80908,	1,107422,1,762207,-30,41455,	1,054688,8,143066,-12,52441,	-0,5542695,14,85375,-37,81308,	ReachForBottle	Default	
-2,737793,-2,34668,-28,73145,	-2,500488,5,018555,-25,80908,	1,107422,1,762207,-30,41455,	1,054688,8,143066,-12,52441,	-0,5542695,14,85375,-37,81308,	ReachForBottle	Default	
-2,658691,-2,324707,-28,67871,	-2,522461,4,908691,-25,82227,	1,111816,1,762207,-30,38379,	1,054688,8,143066,-12,52441,	-0,5542695,14,85375,-37,81308,	ReachForBottle	Default	
-2,658691,-2,324707,-28,67871,	-2,522461,4,908691,-25,82227,	1,111816,1,762207,-30,38379,	1,054688,8,143066,-12,52441,	-0,5542695,14,85375,-37,81308,	ReachForBottle	Default	
-2,658691,-2,324707,-28,67871,	-2,522461,4,908691,-25,82227,	1,111816,1,762207,-30,38379,	1,054688,8,143066,-12,52441,	-0,5542695,14,85375,-37,81308,	ReachForBottle	Default	
-2,658691,-2,324707,-28,67871,	-2,522461,4,908691,-25,82227,	1,111816,1,762207,-30,38379,	1,054688,8,143066,-12,52441,	-0,5542695,14,85375,-37,81308,	ReachForBottle	Default	
-2.654297:-1.731445:-28.55127	-2.34668:4.543945:-25.92334	1.186523:2.061035:-30.27393	1.054688:8.143066:-12.52441	-0.5542695:14.85375:-37.81308	Start	Default	
-2.654297:-1.731445:-28.55127	-2.34668:4.543945:-25.92334	1.186523:2.061035:-30.27393	1.054688:8.143066:-12.52441	-0.5542695:14.85375:-37.81308	Start	Default	
-2.654297:-1.731445:-28.55127	-2.34668:4.543945:-25.92334	1.186523:2.061035:-30.27393	1.054688:8.143066:-12.52441	-0.5542695:14.85375:-37.81308	Start	Default	
-2.654297:-1.731445:-28.55127	-2.34668:4.543945:-25.92334	1.186523:2.061035:-30.27393	1.054688:8.143066:-12.52441	-0.5542695:14.85375:-37.81308	Start	Default	
-2.210449:2.570801:-27.29883	-1.463379:3.370605:-25.61133	1.546875:2.983887:-29.67627	1.054688:8.143066:-12.52441	-0.5542695:14.85375:-37.81308	Start	Default	
-2.210449:2.570801:-27.29883	-1.463379:3.370605:-25.61133	1.546875:2.983887:-29.67627	1.054688:8.143066:-12.52441	-0.5542695:14.85375:-37.81308	Start	Default	
-2.210449:2.570801:-27.29883	-1.463379:3.370605:-25.61133	1.546875:2.983887:-29.67627	1.054688:8.143066:-12.52441	-0.5542695:14.85375:-37.81308	Start	Default	
-1.283203:3.950684:-25.15869	0.5405273:4.583496:-23.62061	1.744629:4.407715:-28.21729	1.054688:8.143066:-12.52441	-0.5697797:14.82547:-38.18685	Start	Default	
-1.283203:3.950684:-25.15869	0.5405273:4.583496:-23.62061	1.744629:4.407715:-28.21729	1.054688:8.143066:-12.52441	-0.4635456:14.73062:-37.88082	Start	Default	
-1.283203:3.950684:-25.15869	0.5405273:4.583496:-23.62061	1.744629:4.407715:-28.21729	1.054688:8.143066:-12.52441	-0.5538591:14.82328:-38.19046	Start	Default	
-1.283203:3.950684:-25.15869	0.5405273:4.583496:-23.62061	1.744629:4.407715:-28.21729	1.054688:8.143066:-12.52441	-0.551083:14.82162:-38.19096	Start	Default	
-0.6459961:4.543945:-22.65381	2.184082:6.222656:-21.44092	1.779785:5.501953:-26.45508	1.054688:8.143066:-12.52441	-0.5707539:14.82188:-38.18962	ReachForBottle	CupRight	
