ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-2.548828:3.137695:-26.45068	-1.111816:2.838867:-25.58496	1.340332:2.184082:-30.22559	1.177734:8.103516:-12.19922	-0.3731126:14.86345:-37.34573	Start	Default	
-2.548828:3.137695:-26.45068	-1.111816:2.838867:-25.58496	1.340332:2.184082:-30.22559	1.177734:8.103516:-12.19922	-0.3934236:14.85891:-37.31728	Start	Default	
-2.548828:3.137695:-26.45068	-1.111816:2.838867:-25.58496	1.340332:2.184082:-30.22559	1.177734:8.103516:-12.19922	-0.4132499:14.86051:-37.43538	Start	Default	
-2.522461:3.111328:-26.43311	-1.120605:2.821289:-25.57617	1.335938:2.170898:-30.22998	1.177734:8.103516:-12.19482	-0.4079158:14.85479:-37.35888	Start	Default	
-2.522461:3.111328:-26.43311	-1.120605:2.821289:-25.57617	1.335938:2.170898:-30.22998	1.177734:8.103516:-12.19482	-0.4026445:14.85522:-37.36966	Start	Default	
-2.522461:3.111328:-26.43311	-1.120605:2.821289:-25.57617	1.335938:2.170898:-30.22998	1.177734:8.103516:-12.19482	-0.3995085:14.85532:-37.35756	Start	Default	
-2.53125:3.080566:-26.41113	-1.129395:2.803711:-25.56738	1.335938:2.144531:-30.22998	1.177734:8.103516:-12.19922	-0.4020342:14.85542:-37.35095	Start	Default	
-2.53125:3.080566:-26.41113	-1.129395:2.803711:-25.56738	1.335938:2.144531:-30.22998	1.177734:8.103516:-12.19922	-0.4062697:14.85836:-37.38002	Start	Default	
-2.53125:3.080566:-26.41113	-1.129395:2.803711:-25.56738	1.335938:2.144531:-30.22998	1.177734:8.103516:-12.19922	-0.369976:14.86188:-37.32798	Start	Default	
-2.53125:3.080566:-26.41113	-1.129395:2.803711:-25.56738	1.335938:2.144531:-30.22998	1.177734:8.103516:-12.19922	-0.3365232:14.87424:-37.39864	Start	Default	
-2.491699:3.080566:-26.40674	-1.146973:2.803711:-25.58057	1.366699:2.162109:-30.22119	1.182129:8.103516:-12.19922	-0.3348482:14.872:-37.37497	Start	Default	
-2.491699:3.080566:-26.40674	-1.146973:2.803711:-25.58057	1.366699:2.162109:-30.22119	1.182129:8.103516:-12.19922	-0.3498:14.87558:-37.4743	Start	Default	
