ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	RightEyePosition	Annotations	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
-1.74,-0.2038202,-4.14,	-1.74,-0.2038202,-4.14,	-1.59,-0.28,-4.29,	-1.65,0.16,-4.29,	5.78486,0.07961912,0.7361618,	noch leer	
