ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	RightEyePosition	Annotations	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
4.53,-0.3538202,-11.161,	4.53,-0.3538202,-11.161,	4.68,-0.43,-11.311,	4.62,0,-11.31592,	5.78486,0.07961912,0.7361618,	noch leer	
