ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-2.570801:-2.557617:-27.20654	0.9008789:3.673828:-26.31885	1.353516:2.364258:-30.82764	0.9008789:8.024414:-11.69385	0.05340988:14.90852:-37.75591	Start	Default	
-2.570801:-2.557617:-27.20654	0.9008789:3.673828:-26.31885	1.353516:2.364258:-30.82764	0.9008789:8.024414:-11.69385	0.05337328:14.9085:-37.75512	Start	Default	
-2.540039:-2.38623:-27.26807	0.9008789:3.651855:-26.31885	1.344727:2.359863:-30.82764	0.9008789:8.024414:-11.69385	0.0532877:14.90866:-37.76025	Start	Default	
-2.540039:-2.38623:-27.26807	0.9008789:3.651855:-26.31885	1.344727:2.359863:-30.82764	0.9008789:8.024414:-11.69385	0.08304641:14.91209:-37.762	Start	Default	
-2.540039:-2.38623:-27.26807	0.9008789:3.651855:-26.31885	1.344727:2.359863:-30.82764	0.9008789:8.024414:-11.69385	0.08141114:14.91166:-37.75942	Start	Default	
-2.500488:-2.280762:-27.36475	0.9008789:3.603516:-26.33203	1.340332:2.351074:-30.82764	0.9008789:8.024414:-11.69385	0.07918351:14.9119:-37.76929	Start	Default	
-2.500488:-2.280762:-27.36475	0.9008789:3.603516:-26.33203	1.340332:2.351074:-30.82764	0.9008789:8.024414:-11.69385	0.07856914:14.91195:-37.76909	Start	Default	
-2.500488:-2.280762:-27.36475	0.9008789:3.603516:-26.33203	1.340332:2.351074:-30.82764	0.9008789:8.024414:-11.69385	0.07836717:14.91192:-37.76892	Start	Default	
-2.500488:-2.280762:-27.36475	0.9008789:3.603516:-26.33203	1.340332:2.351074:-30.82764	0.9008789:8.024414:-11.69385	0.08075552:14.91144:-37.75456	Start	Default	
-2.447754:-2.135742:-27.43506	0.9272461:3.568359:-26.32764	1.331543:2.34668:-30.82324	0.9008789:8.024414:-11.69385	0.08243743:14.91225:-37.76876	Start	Default	
-2.447754:-2.135742:-27.43506	0.9272461:3.568359:-26.32764	1.331543:2.34668:-30.82324	0.9008789:8.024414:-11.69385	0.08948197:14.91281:-37.76836	Start	Default	
-2.447754:-2.135742:-27.43506	0.9272461:3.568359:-26.32764	1.331543:2.34668:-30.82324	0.9008789:8.024414:-11.69385	0.09481975:14.91271:-37.75362	Start	Default	
-2.447754:-2.135742:-27.43506	0.9272461:3.568359:-26.32764	1.331543:2.34668:-30.82324	0.9008789:8.024414:-11.69385	0.0937563:14.91308:-37.76805	Start	Default	
-2.438965:-1.990723:-27.4834	0.9052734:3.550781:-26.31445	1.331543:2.337891:-30.81445	0.9008789:8.024414:-11.69385	0.09154975:14.90945:-37.68023	Start	Default	
-2.438965:-1.990723:-27.4834	0.9052734:3.550781:-26.31445	1.331543:2.337891:-30.81445	0.9008789:8.024414:-11.69385	0.07323012:14.84814:-37.34305	Start	Default	
-2.438965:-1.990723:-27.4834	0.9052734:3.550781:-26.31445	1.331543:2.337891:-30.81445	0.9008789:8.024414:-11.69385	0.05248935:14.82619:-37.49779	Start	Default	
-2.474121:-1.916016:-27.4834	0.8657227:3.524414:-26.32764	1.335938:2.337891:-30.81006	0.9008789:8.024414:-11.69385	0.06848219:14.76542:-37.3423	Start	Bottle	
-2.474121:-1.916016:-27.4834	0.8657227:3.524414:-26.32764	1.335938:2.337891:-30.81006	0.9008789:8.024414:-11.69385	0.1057943:14.80674:-37.42752	Start	Default	
-2.474121:-1.916016:-27.4834	0.8657227:3.524414:-26.32764	1.335938:2.337891:-30.81006	0.9008789:8.024414:-11.69385	0.1089032:14.83433:-37.52838	Start	Default	
-2.526855:-1.740234:-27.47021	0.8261719:3.502441:-26.34521	1.335938:2.324707:-30.80566	0.9008789:8.024414:-11.69385	0.1088337:14.83602:-37.54263	Start	Default	
-2.526855:-1.740234:-27.47021	0.8261719:3.502441:-26.34521	1.335938:2.324707:-30.80566	0.9008789:8.024414:-11.69385	0.1054513:14.74557:-37.22235	Start	Bottle	
-2.526855:-1.740234:-27.47021	0.8261719:3.502441:-26.34521	1.335938:2.324707:-30.80566	0.9008789:8.024414:-11.69385	0.107529:14.75363:-37.23945	Start	Default	
-2.526855:-1.740234:-27.47021	0.8261719:3.502441:-26.34521	1.335938:2.324707:-30.80566	0.9008789:8.024414:-11.69385	0.1089348:14.80435:-37.44852	Start	Bottle	
-2.67627:-1.498535:-27.53613	0.7602539:3.489258:-26.32764	1.340332:2.311523:-30.80566	0.9008789:8.024414:-11.69385	0.1074961:14.80654:-37.44293	Start	Default	
-2.67627:-1.498535:-27.53613	0.7602539:3.489258:-26.32764	1.340332:2.311523:-30.80566	0.9008789:8.024414:-11.69385	0.09214425:14.82038:-37.52684	Start	Bottle	
-2.67627:-1.498535:-27.53613	0.7602539:3.489258:-26.32764	1.340332:2.311523:-30.80566	0.9008789:8.024414:-11.69385	0.07341054:14.84334:-37.62473	Start	Bottle	
-2.882813:-1.190918:-27.61084	0.6723633:3.392578:-26.354	1.344727:2.29834:-30.80566	0.9008789:8.024414:-11.69385	0.06949161:14.75142:-37.34183	Start	Bottle	
-2.882813:-1.190918:-27.61084	0.6723633:3.392578:-26.354	1.344727:2.29834:-30.80566	0.9008789:8.024414:-11.69385	0.05913052:14.80678:-37.51865	Start	Bottle	
-2.882813:-1.190918:-27.61084	0.6723633:3.392578:-26.354	1.344727:2.29834:-30.80566	0.9008789:8.024414:-11.69385	0.05936543:14.78365:-37.44854	Start	Bottle	
-3.067383:-0.3295898:-27.63721	0.5756836:3.159668:-26.36719	1.353516:2.342285:-30.79688	0.9008789:8.024414:-11.69385	0.05057514:14.81834:-37.56349	Start	Bottle	
-3.067383:-0.3295898:-27.63721	0.5756836:3.159668:-26.36719	1.353516:2.342285:-30.79688	0.9008789:8.024414:-11.69385	0.04925631:14.85073:-37.67033	Start	Bottle	
-3.067383:-0.3295898:-27.63721	0.5756836:3.159668:-26.36719	1.353516:2.342285:-30.79688	0.9008789:8.024414:-11.69385	0.05237519:14.86352:-37.69057	Start	Bottle	
-3.067383:-0.3295898:-27.63721	0.5756836:3.159668:-26.36719	1.353516:2.342285:-30.79688	0.9008789:8.024414:-11.69385	0.04973717:14.88769:-37.77049	Start	Bottle	
-3.19043:2.786133:-27.77344	0.4702148:2.95752:-26.16943	1.318359:2.535645:-30.71338	0.9008789:8.024414:-11.69385	0.03697544:14.26197:-36.29508	Start	Bottle	
-3.19043:2.786133:-27.77344	0.4702148:2.95752:-26.16943	1.318359:2.535645:-30.71338	0.9008789:8.024414:-11.69385	0.03697544:14.26197:-36.29508	Start	Bottle	
-3.19043:2.786133:-27.77344	0.4702148:2.95752:-26.16943	1.318359:2.535645:-30.71338	0.9008789:8.024414:-11.69385	0.03697544:14.26197:-36.29508	Start	Bottle	
-3.317871:4.63623:-27.66797	0.355957:2.983887:-25.86621	1.208496:2.922363:-30.48926	0.9008789:8.024414:-11.69385	0.03697544:14.26197:-36.29508	Start	Bottle	
-3.317871:4.63623:-27.66797	0.355957:2.983887:-25.86621	1.208496:2.922363:-30.48926	0.9008789:8.024414:-11.69385	0.03697544:14.26197:-36.29508	Start	Bottle	
-3.317871:4.63623:-27.66797	0.355957:2.983887:-25.86621	1.208496:2.922363:-30.48926	0.9008789:8.024414:-11.69385	0.01204832:14.21713:-36.31244	Start	Default	
-3.42334:5.598633:-27.15381	0.2944336:3.27832:-25.40479	1.001953:3.405762:-29.98828	0.9008789:8.024414:-11.69385	0.04887341:14.35932:-36.25519	Start	Bottle	
-3.42334:5.598633:-27.15381	0.2944336:3.27832:-25.40479	1.001953:3.405762:-29.98828	0.9008789:8.024414:-11.69385	0.05081289:14.44893:-36.22561	Start	Bottle	
-3.42334:5.598633:-27.15381	0.2944336:3.27832:-25.40479	1.001953:3.405762:-29.98828	0.9008789:8.024414:-11.69385	0.07042485:14.44414:-36.22721	Start	Bottle	
-3.42334:5.598633:-27.15381	0.2944336:3.27832:-25.40479	1.001953:3.405762:-29.98828	0.9008789:8.024414:-11.69385	0.04009106:14.89266:-37.76326	Start	Bottle	
-3.177246:6.213867:-26.39795	0.3383789:3.946289:-24.67969	0.8833008:3.968262:-29.28076	0.9008789:8.024414:-11.69385	0.04495056:14.86688:-37.68895	Start	Bottle	
-3.177246:6.213867:-26.39795	0.3383789:3.946289:-24.67969	0.8833008:3.968262:-29.28076	0.9008789:8.024414:-11.69385	0.04873486:14.83307:-37.56923	Start	Bottle	
-3.177246:6.213867:-26.39795	0.3383789:3.946289:-24.67969	0.8833008:3.968262:-29.28076	0.9008789:8.024414:-11.69385	0.04539372:14.87476:-37.71392	Start	Bottle	
-2.900391:6.829102:-25.32568	0.3691406:5.093262:-23.67773	0.8129883:4.825195:-28.23047	0.9008789:8.024414:-11.69385	0.05548961:14.78414:-37.40686	Start	Bottle	
-2.900391:6.829102:-25.32568	0.3691406:5.093262:-23.67773	0.8129883:4.825195:-28.23047	0.9008789:8.024414:-11.69385	0.04949013:14.83835:-37.59384	Start	Bottle	
-2.900391:6.829102:-25.32568	0.3691406:5.093262:-23.67773	0.8129883:4.825195:-28.23047	0.9008789:8.024414:-11.69385	0.04514135:14.85897:-37.65903	Start	Bottle	
-2.654297:7.365234:-23.66016	0.6416016:6.473145:-22.17041	0.7954102:5.695313:-26.6001	0.9008789:8.024414:-11.69385	0.04654661:14.8512:-37.62911	ReachForBottle	Bottle	
-2.654297:7.365234:-23.66016	0.6416016:6.473145:-22.17041	0.7954102:5.695313:-26.6001	0.9008789:8.024414:-11.69385	0.04850601:14.84057:-37.59166	ReachForBottle	Bottle	
