ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-1.111816:4.17041:-26.4375	1.208496:1.713867:-24.93457	1.067871:2.293945:-30.70459	0.9887695:8.055176:-11.88721	-0.45585:14.27176:-36.48976	Start	Bottle	
-1.111816:4.17041:-26.4375	1.208496:1.713867:-24.93457	1.067871:2.293945:-30.70459	0.9887695:8.055176:-11.88721	-0.4666999:14.35068:-36.72375	Start	Bottle	
-1.138184:4.196777:-26.41113	1.208496:1.718262:-24.95215	1.063477:2.29834:-30.6958	0.9887695:8.055176:-11.88721	-0.4698257:14.34908:-36.72194	Start	Bottle	
-1.138184:4.196777:-26.41113	1.208496:1.718262:-24.95215	1.063477:2.29834:-30.6958	0.9887695:8.055176:-11.88721	-0.4622197:14.30219:-36.58578	Start	Bottle	
-1.138184:4.196777:-26.41113	1.208496:1.718262:-24.95215	1.063477:2.29834:-30.6958	0.9887695:8.055176:-11.88721	-0.4695196:14.34263:-36.70575	Start	Bottle	
-1.177734:4.205566:-26.36719	1.199707:1.709473:-24.97852	1.059082:2.293945:-30.69141	0.984375:8.055176:-11.88721	-0.4666234:14.31643:-36.61965	Start	Bottle	
-1.177734:4.205566:-26.36719	1.199707:1.709473:-24.97852	1.059082:2.293945:-30.69141	0.984375:8.055176:-11.88721	-0.4897336:14.45936:-37.07629	Start	Bottle	
-1.177734:4.205566:-26.36719	1.199707:1.709473:-24.97852	1.059082:2.293945:-30.69141	0.984375:8.055176:-11.88721	-0.4416858:14.30138:-36.03658	Start	Default	
-1.177734:4.205566:-26.36719	1.199707:1.709473:-24.97852	1.059082:2.293945:-30.69141	0.984375:8.055176:-11.88721	-0.5213931:14.65971:-37.1895	Start	Default	
-1.155762:4.152832:-26.29688	1.199707:1.696289:-25.04004	1.063477:2.29834:-30.68701	0.984375:8.055176:-11.88281	-0.4878492:14.49868:-36.14005	Start	Default	
-1.155762:4.152832:-26.29688	1.199707:1.696289:-25.04004	1.063477:2.29834:-30.68701	0.984375:8.055176:-11.88281	-0.4877012:14.5142:-36.19284	Start	Default	
-1.155762:4.152832:-26.29688	1.199707:1.696289:-25.04004	1.063477:2.29834:-30.68701	0.984375:8.055176:-11.88281	-0.5088923:14.59215:-36.64085	Start	Default	
-1.155762:4.174805:-26.26172	1.190918:1.691895:-25.08838	1.063477:2.29834:-30.68701	0.9887695:8.055176:-11.88721	-0.5083883:14.64227:-36.9226	Start	Default	
-1.155762:4.174805:-26.26172	1.190918:1.691895:-25.08838	1.063477:2.29834:-30.68701	0.9887695:8.055176:-11.88721	-0.4547601:14.65086:-36.91939	Start	Default	
-1.155762:4.174805:-26.26172	1.190918:1.691895:-25.08838	1.063477:2.29834:-30.68701	0.9887695:8.055176:-11.88721	-0.4657279:14.62452:-36.77673	Start	Default	
-1.151367:4.196777:-26.22656	1.199707:1.683105:-25.12354	1.059082:2.289551:-30.69141	0.9887695:8.055176:-11.88721	-0.4669754:14.62463:-36.7919	Start	Default	
-1.151367:4.196777:-26.22656	1.199707:1.683105:-25.12354	1.059082:2.289551:-30.69141	0.9887695:8.055176:-11.88721	-0.4680968:14.63521:-36.87139	Start	Default	
-1.151367:4.196777:-26.22656	1.199707:1.683105:-25.12354	1.059082:2.289551:-30.69141	0.9887695:8.055176:-11.88721	-0.4520154:14.71211:-37.27858	Start	Default	
-1.151367:4.196777:-26.22656	1.199707:1.683105:-25.12354	1.059082:2.289551:-30.69141	0.9887695:8.055176:-11.88721	-0.4611313:14.2127:-35.98859	Start	Bottle	
-1.190918:4.201172:-26.17383	1.195313:1.691895:-25.15869	1.054688:2.285156:-30.68701	0.9887695:8.055176:-11.88721	-0.5332378:14.36344:-36.98757	Start	Bottle	
-1.190918:4.201172:-26.17383	1.195313:1.691895:-25.15869	1.054688:2.285156:-30.68701	0.9887695:8.055176:-11.88721	-0.5267604:14.19649:-36.63438	Start	Bottle	
-1.190918:4.201172:-26.17383	1.195313:1.691895:-25.15869	1.054688:2.285156:-30.68701	0.9887695:8.055176:-11.88721	-0.5062103:14.00476:-36.17078	Start	Bottle	
-1.230469:4.223145:-26.05078	1.212891:1.73584:-25.2334	1.063477:2.258789:-30.66943	0.9887695:8.055176:-11.88721	-0.5083734:14.03046:-36.22435	Start	Bottle	
-1.230469:4.223145:-26.05078	1.212891:1.73584:-25.2334	1.063477:2.258789:-30.66943	0.9887695:8.055176:-11.88721	-0.456089:13.88961:-35.88325	Start	Bottle	
-1.230469:4.223145:-26.05078	1.212891:1.73584:-25.2334	1.063477:2.258789:-30.66943	0.9887695:8.055176:-11.88721	-0.4806408:14.18945:-36.64079	Start	Bottle	
-1.133789:4.183594:-25.9541	1.217285:1.828125:-25.31689	1.094238:2.289551:-30.66504	0.984375:8.055176:-11.88721	-0.4821447:14.13196:-36.51699	Start	Bottle	
-1.133789:4.183594:-25.9541	1.217285:1.828125:-25.31689	1.094238:2.289551:-30.66504	0.984375:8.055176:-11.88721	-0.4681323:14.02735:-36.25162	Start	Bottle	
-1.133789:4.183594:-25.9541	1.217285:1.828125:-25.31689	1.094238:2.289551:-30.66504	0.984375:8.055176:-11.88721	-0.4516158:13.82512:-35.75654	Start	Bottle	
-1.133789:4.183594:-25.9541	1.217285:1.828125:-25.31689	1.094238:2.289551:-30.66504	0.984375:8.055176:-11.88721	-0.4666551:13.95894:-36.09426	Start	Bottle	
-1.116211:4.157227:-25.82666	1.230469:1.810547:-25.35645	1.081055:2.311523:-30.66504	0.9887695:8.055176:-11.88721	-0.4791414:14.12514:-36.50151	Start	Bottle	
-1.116211:4.157227:-25.82666	1.230469:1.810547:-25.35645	1.081055:2.311523:-30.66504	0.9887695:8.055176:-11.88721	-0.4887599:14.20599:-36.71429	Start	Bottle	
-1.116211:4.157227:-25.82666	1.230469:1.810547:-25.35645	1.081055:2.311523:-30.66504	0.9887695:8.055176:-11.88721	-0.4928402:14.22276:-36.76911	Start	Bottle	
-1.111816:4.174805:-25.76074	1.239258:1.78418:-25.37402	1.07666:2.324707:-30.66943	0.9887695:8.055176:-11.88721	-0.4842563:14.14872:-36.56919	Start	Bottle	
-1.111816:4.174805:-25.76074	1.239258:1.78418:-25.37402	1.07666:2.324707:-30.66943	0.9887695:8.055176:-11.88721	-0.4855016:14.15489:-36.60434	Start	Bottle	
-1.111816:4.174805:-25.76074	1.239258:1.78418:-25.37402	1.07666:2.324707:-30.66943	0.9887695:8.055176:-11.88721	-0.4872942:14.26471:-36.85945	Start	Bottle	
-1.111816:4.174805:-25.76074	1.239258:1.78418:-25.37402	1.07666:2.324707:-30.66943	0.9887695:8.055176:-11.88721	-0.5103171:14.46233:-37.35182	Start	Bottle	
-1.107422:4.113281:-25.69922	1.248047:1.757813:-25.40918	1.067871:2.351074:-30.65186	0.9887695:8.055176:-11.88721	-0.4893333:14.21575:-36.75042	Start	Bottle	
-1.107422:4.113281:-25.69922	1.248047:1.757813:-25.40918	1.067871:2.351074:-30.65186	0.9887695:8.055176:-11.88721	-0.4898629:14.23002:-36.78727	Start	Bottle	
-1.107422:4.113281:-25.69922	1.248047:1.757813:-25.40918	1.067871:2.351074:-30.65186	0.9887695:8.055176:-11.88721	-0.4865901:14.14177:-36.55112	Start	Bottle	
-1.278809:3.695801:-25.64648	1.683105:1.898438:-25.22021	1.142578:2.86084:-30.50244	0.9887695:8.055176:-11.88721	-0.5093843:14.38555:-37.17183	Start	Bottle	
-1.278809:3.695801:-25.64648	1.683105:1.898438:-25.22021	1.142578:2.86084:-30.50244	0.9887695:8.055176:-11.88721	-0.4991699:14.33091:-37.00237	Start	Bottle	
-1.278809:3.695801:-25.64648	1.683105:1.898438:-25.22021	1.142578:2.86084:-30.50244	0.9887695:8.055176:-11.88721	-0.4931385:14.20419:-36.66077	Start	Bottle	
-1.278809:3.695801:-25.64648	1.683105:1.898438:-25.22021	1.142578:2.86084:-30.50244	0.9887695:8.055176:-11.88721	-0.492254:14.18675:-36.61259	Start	Bottle	
-1.652344:3.55957:-25.24219	1.959961:2.913574:-24.35449	1.182129:3.832031:-29.80811	0.9887695:8.055176:-11.88721	-0.495152:14.18455:-36.65749	Start	Bottle	
-1.652344:3.55957:-25.24219	1.959961:2.913574:-24.35449	1.182129:3.832031:-29.80811	0.9887695:8.055176:-11.88721	-0.4936888:14.17741:-36.64648	Start	Bottle	
-1.652344:3.55957:-25.24219	1.959961:2.913574:-24.35449	1.182129:3.832031:-29.80811	0.9887695:8.055176:-11.88721	-0.5216214:14.47143:-37.40513	Start	Bottle	
-1.946777:4.135254:-23.91064	1.955566:4.798828:-22.79443	1.032715:5.172363:-28.44141	0.9887695:8.055176:-11.88721	-0.516936:14.39841:-37.22119	Start	Bottle	
-1.946777:4.135254:-23.91064	1.955566:4.798828:-22.79443	1.032715:5.172363:-28.44141	0.9887695:8.055176:-11.88721	-0.5189112:14.39516:-37.23165	Start	Bottle	
-1.946777:4.135254:-23.91064	1.955566:4.798828:-22.79443	1.032715:5.172363:-28.44141	0.9887695:8.055176:-11.88721	-0.522802:14.40739:-37.25541	Start	Bottle	
-1.946777:4.135254:-23.91064	1.955566:4.798828:-22.79443	1.032715:5.172363:-28.44141	0.9887695:8.055176:-11.88721	-0.528255:14.42402:-37.30665	Start	Bottle	
-2.223633:5.282227:-22.27148	1.955566:6.275391:-21.03662	1.054688:6.1875:-26.83301	0.9887695:8.055176:-11.88721	-0.5018568:14.2385:-36.82821	ReachForBottle	Bottle	
-2.223633:5.282227:-22.27148	1.955566:6.275391:-21.03662	1.054688:6.1875:-26.83301	0.9887695:8.055176:-11.88721	-0.4938254:14.18703:-36.714	ReachForBottle	Bottle	
-2.223633:5.282227:-22.27148	1.955566:6.275391:-21.03662	1.054688:6.1875:-26.83301	0.9887695:8.055176:-11.88721	-0.5023272:14.24316:-36.84298	ReachForBottle	Bottle	
-2.11377:6.09082:-20.37744	2.192871:7.294922:-19.34033	1.063477:6.631348:-25.05322	0.9887695:8.055176:-11.88721	-0.5150834:14.25422:-36.87261	ReachForBottle	Bottle	
-2.11377:6.09082:-20.37744	2.192871:7.294922:-19.34033	1.063477:6.631348:-25.05322	0.9887695:8.055176:-11.88721	-0.5039855:14.18129:-36.67578	ReachForBottle	Bottle	
-2.11377:6.09082:-20.37744	2.192871:7.294922:-19.34033	1.063477:6.631348:-25.05322	0.9887695:8.055176:-11.88721	-0.4957426:14.02615:-36.30119	ReachForBottle	Bottle	
-2.11377:6.09082:-20.37744	2.192871:7.294922:-19.34033	1.063477:6.631348:-25.05322	0.9887695:8.055176:-11.88721	-0.4918386:14.16778:-36.63367	ReachForBottle	Bottle	
-1.977539:6.578613:-18.55371	2.500488:8.01123:-17.63525	1.019531:6.824707:-23.22949	0.9887695:8.055176:-11.88721	-0.5174332:14.18273:-36.6819	ReachForBottle	Bottle	
-1.977539:6.578613:-18.55371	2.500488:8.01123:-17.63525	1.019531:6.824707:-23.22949	0.9887695:8.055176:-11.88721	-0.5137492:14.21076:-36.75205	ReachForBottle	Bottle	
-1.977539:6.578613:-18.55371	2.500488:8.01123:-17.63525	1.019531:6.824707:-23.22949	0.9887695:8.055176:-11.88721	-0.5332195:14.4088:-37.25228	ReachForBottle	Bottle	
-1.977539:6.578613:-18.55371	2.500488:8.01123:-17.63525	1.019531:6.824707:-23.22949	0.9887695:8.055176:-11.88721	-0.5196618:14.26753:-36.87246	ReachForBottle	Bottle	
-1.806152:6.952148:-16.89258	2.720215:8.230957:-16.33008	0.9316406:6.877441:-21.7002	0.9887695:8.055176:-11.88721	-0.5093268:14.19663:-36.73545	ReachForBottle	Bottle	
-1.806152:6.952148:-16.89258	2.720215:8.230957:-16.33008	0.9316406:6.877441:-21.7002	0.9887695:8.055176:-11.88721	-0.5097972:14.21914:-36.75198	ReachForBottle	Bottle	
-1.806152:6.952148:-16.89258	2.720215:8.230957:-16.33008	0.9316406:6.877441:-21.7002	0.9887695:8.055176:-11.88721	-0.5591455:14.41138:-37.30059	ReachForBottle	Bottle	
-1.665527:7.004883:-15.57422	2.874023:8.29248:-15.31055	0.8569336:6.824707:-20.55762	0.9887695:8.055176:-11.88721	-0.5646752:14.30529:-36.98154	ReachForBottle	Bottle	
-1.665527:7.004883:-15.57422	2.874023:8.29248:-15.31055	0.8569336:6.824707:-20.55762	0.9887695:8.055176:-11.88721	-0.5695145:14.3242:-37.03431	ReachForBottle	Bottle	
-1.665527:7.004883:-15.57422	2.874023:8.29248:-15.31055	0.8569336:6.824707:-20.55762	0.9887695:8.055176:-11.88721	-0.560097:14.31805:-37.01232	ReachForBottle	Bottle	
-1.665527:7.004883:-15.57422	2.874023:8.29248:-15.31055	0.8569336:6.824707:-20.55762	0.9887695:8.055176:-11.88721	-0.5053127:14.27456:-36.92326	ReachForBottle	Hand	
-1.546875:6.960938:-14.62939	3.019043:8.191406:-14.50195	0.7998047:6.710449:-19.63916	0.9887695:8.055176:-11.88721	-0.5216327:14.33169:-37.04052	ReachForBottle	Hand	
-1.546875:6.960938:-14.62939	3.019043:8.191406:-14.50195	0.7998047:6.710449:-19.63916	0.9887695:8.055176:-11.88721	-0.5349603:14.31258:-37.00817	ReachForBottle	Hand	
-1.546875:6.960938:-14.62939	3.019043:8.191406:-14.50195	0.7998047:6.710449:-19.63916	0.9887695:8.055176:-11.88721	-0.5547226:14.30334:-36.96936	ReachForBottle	Bottle	
-1.54248:6.89502:-13.90869	2.970703:8.02002:-13.81641	0.7338867:6.596191:-18.98877	0.9887695:8.055176:-11.88721	-0.5568686:14.29867:-36.98891	ReachForBottle	Bottle	
-1.54248:6.89502:-13.90869	2.970703:8.02002:-13.81641	0.7338867:6.596191:-18.98877	0.9887695:8.055176:-11.88721	-0.5360749:14.22938:-36.80346	ReachForBottle	Hand	
-1.54248:6.89502:-13.90869	2.970703:8.02002:-13.81641	0.7338867:6.596191:-18.98877	0.9887695:8.055176:-11.88721	-0.5258003:14.18544:-36.72159	ReachForBottle	Hand	
-1.643555:6.723633:-13.37256	2.8125:7.773926:-13.20557	0.6240234:6.451172:-18.47021	0.9887695:8.055176:-11.88721	-0.520689:14.22419:-36.80597	ReachForBottle	Hand	
-1.643555:6.723633:-13.37256	2.8125:7.773926:-13.20557	0.6240234:6.451172:-18.47021	0.9887695:8.055176:-11.88721	-0.514863:14.19357:-36.73713	ReachForBottle	Hand	
-1.643555:6.723633:-13.37256	2.8125:7.773926:-13.20557	0.6240234:6.451172:-18.47021	0.9887695:8.055176:-11.88721	-0.5104051:14.21523:-36.78193	ReachForBottle	Hand	
-1.643555:6.723633:-13.37256	2.8125:7.773926:-13.20557	0.6240234:6.451172:-18.47021	0.9887695:8.055176:-11.88721	-0.5130402:14.23582:-36.84686	ReachForBottle	Hand	
-1.709473:6.455566:-12.91113	2.649902:7.519043:-12.71338	0.4833984:6.288574:-18.03076	0.9887695:8.055176:-11.88721	-0.5091293:14.21785:-36.80591	ReachForBottle	Hand	
-1.709473:6.455566:-12.91113	2.649902:7.519043:-12.71338	0.4833984:6.288574:-18.03076	0.9887695:8.055176:-11.88721	-0.5028797:14.17677:-36.71844	ReachForBottle	Hand	
-1.709473:6.455566:-12.91113	2.649902:7.519043:-12.71338	0.4833984:6.288574:-18.03076	0.9887695:8.055176:-11.88721	-0.503288:14.14498:-36.65785	ReachForBottle	Hand	
-1,678711,6,1875,-12,51123,	2,557617,7,286133,-12,38379,	0,3515625,6,099609,-17,70996,	0,984375,8,055176,-11,88281,	-0,5019796,14,07199,-36,48232,	ReachForBottle	Hand	
-1,678711,6,1875,-12,51123,	2,557617,7,286133,-12,38379,	0,3515625,6,099609,-17,70996,	0,984375,8,055176,-11,88281,	-0,515252,14,15971,-36,68661,	ReachForBottle	Hand	
-1,678711,6,1875,-12,51123,	2,557617,7,286133,-12,38379,	0,3515625,6,099609,-17,70996,	0,984375,8,055176,-11,88281,	-0,5264019,14,22048,-36,84667,	ReachForBottle	Hand	
-1,678711,6,1875,-12,51123,	2,557617,7,286133,-12,38379,	0,3515625,6,099609,-17,70996,	0,984375,8,055176,-11,88281,	-0,6302793,14,20014,-36,84495,	ReachForBottle	Default	
-1.586426:5.831543:-12.18604	2.438965:7.048828:-12.11572	0.2329102:5.879883:-17.44189	0.909668:8.046387:-11.83447	-0.8477185:14.08846:-36.69146	Grasped	Default	
-1.586426:5.831543:-12.18604	2.438965:7.048828:-12.11572	0.2329102:5.879883:-17.44189	0.909668:8.046387:-11.83447	-0.8372619:14.35131:-37.37456	Grasped	Default	
-1.586426:5.831543:-12.18604	2.438965:7.048828:-12.11572	0.2329102:5.879883:-17.44189	0.909668:8.046387:-11.83447	-0.7196301:14.48322:-37.5897	Grasped	Default	
-1.35791:5.475586:-11.896	2.416992:6.824707:-11.95313	0.1669922:5.686523:-17.23975	0.909668:8.046387:-11.82129	-0.8992657:14.08751:-36.80587	Grasped	Default	
-1.35791:5.475586:-11.896	2.416992:6.824707:-11.95313	0.1669922:5.686523:-17.23975	0.909668:8.046387:-11.82129	-0.8561994:14.26122:-37.18107	Grasped	Default	
-1.35791:5.475586:-11.896	2.416992:6.824707:-11.95313	0.1669922:5.686523:-17.23975	0.909668:8.046387:-11.82129	-0.7887574:14.29116:-37.18811	Grasped	Default	
-1.35791:5.475586:-11.896	2.416992:6.824707:-11.95313	0.1669922:5.686523:-17.23975	0.909668:8.046387:-11.82129	-0.8295035:14.28847:-37.22318	Grasped	Default	
-1.138184:5.115234:-11.69824	2.53125:6.521484:-11.87842	0.1494141:5.47998:-17.08594	0.909668:8.046387:-11.82568	-0.8564912:14.21906:-37.08231	Grasped	Default	
-1.138184:5.115234:-11.69824	2.53125:6.521484:-11.87842	0.1494141:5.47998:-17.08594	0.909668:8.046387:-11.82568	-0.8599187:14.21398:-37.07959	Grasped	Default	
-1.138184:5.115234:-11.69824	2.53125:6.521484:-11.87842	0.1494141:5.47998:-17.08594	0.909668:8.046387:-11.82568	-0.880636:14.16621:-36.98078	Grasped	Default	
-1.138184:5.115234:-11.69824	2.53125:6.521484:-11.87842	0.1494141:5.47998:-17.08594	0.909668:8.046387:-11.82568	-0.9135183:14.09728:-36.84583	Grasped	Default	
-0.8745117:4.561523:-11.58398	2.583984:6.082031:-11.75098	0.1625977:5.220703:-16.97607	0.909668:8.046387:-11.82568	-0.9800688:13.92732:-36.50137	Grasped	Default	
-0.8745117:4.561523:-11.58398	2.583984:6.082031:-11.75098	0.1625977:5.220703:-16.97607	0.909668:8.046387:-11.82568	-1.043752:13.79851:-36.23841	Grasped	Default	
-0.8745117:4.561523:-11.58398	2.583984:6.082031:-11.75098	0.1625977:5.220703:-16.97607	0.909668:8.046387:-11.82568	-1.20927:13.3987:-35.38892	Grasped	Default	
-0.5185547:4.047363:-11.51807	2.57959:5.585449:-11.64551	0.2241211:4.91748:-16.91895	0.9140625:8.046387:-11.82568	-1.160415:13.51235:-35.63802	Grasped	Default	
-0.5185547:4.047363:-11.51807	2.57959:5.585449:-11.64551	0.2241211:4.91748:-16.91895	0.9140625:8.046387:-11.82568	-1.277871:13.57748:-35.59706	Grasped	CupLeft	
-0.5185547:4.047363:-11.51807	2.57959:5.585449:-11.64551	0.2241211:4.91748:-16.91895	0.9140625:8.046387:-11.82568	-1.059548:14.04579:-36.58434	Grasped	CupLeft	
-0.3383789:3.845215:-11.46973	2.465332:5.106445:-11.54443	0.2636719:4.706543:-16.88818	0.9228516:8.046387:-11.82568	-0.8489321:14.38357:-37.3269	Grasped	CupLeft	
-0.3383789:3.845215:-11.46973	2.465332:5.106445:-11.54443	0.2636719:4.706543:-16.88818	0.9228516:8.046387:-11.82568	-1.976028:12.3583:-32.90927	Grasped	CupLeft	
-0.3383789:3.845215:-11.46973	2.465332:5.106445:-11.54443	0.2636719:4.706543:-16.88818	0.9228516:8.046387:-11.82568	-1.819556:12.65671:-33.55286	Grasped	CupLeft	
-0.3383789:3.845215:-11.46973	2.465332:5.106445:-11.54443	0.2636719:4.706543:-16.88818	0.9228516:8.046387:-11.82568	-1.30415:13.5428:-35.48309	Grasped	CupLeft	
-0.2768555:3.836426:-11.42139	2.228027:4.96582:-11.53564	0.2241211:4.680176:-16.85303	0.909668:8.046387:-11.82129	-1.724997:12.85708:-33.96852	Grasped	CupLeft	
-0.2768555:3.836426:-11.42139	2.228027:4.96582:-11.53564	0.2241211:4.680176:-16.85303	0.909668:8.046387:-11.82129	-1.26085:13.61748:-35.60701	Grasped	CupLeft	
-0.2768555:3.836426:-11.42139	2.228027:4.96582:-11.53564	0.2241211:4.680176:-16.85303	0.909668:8.046387:-11.82129	-1.888299:12.58832:-33.3356	Grasped	CupLeft	
-0.3779297:3.862793:-11.39941	1.995117:5.031738:-11.54883	0.03076172:4.746094:-16.7915	0.7954102:8.063965:-11.79932	-1.273979:13.66408:-35.74554	Grasped	CupLeft	
-0.3779297:3.862793:-11.39941	1.995117:5.031738:-11.54883	0.03076172:4.746094:-16.7915	0.7954102:8.063965:-11.79932	-1.636905:13.08628:-34.46079	Grasped	CupLeft	
-0.3779297:3.862793:-11.39941	1.995117:5.031738:-11.54883	0.03076172:4.746094:-16.7915	0.7954102:8.063965:-11.79932	-1.441349:13.38789:-35.104	Grasped	CupLeft	
-0.3779297:3.862793:-11.39941	1.995117:5.031738:-11.54883	0.03076172:4.746094:-16.7915	0.7954102:8.063965:-11.79932	-0.9408565:14.22934:-36.95694	Grasped	CupLeft	
-0.8129883:4.086914:-11.37744	1.507324:5.339355:-11.50928	-0.3164063:4.886719:-16.75195	0.1582031:8.305664:-11.76416	-1.481677:13.32882:-34.57536	Grasped	CupLeft	
-0.8129883:4.086914:-11.37744	1.507324:5.339355:-11.50928	-0.3164063:4.886719:-16.75195	0.1582031:8.305664:-11.76416	-1.205674:13.86833:-36.00262	Grasped	CupLeft	
-0.8129883:4.086914:-11.37744	1.507324:5.339355:-11.50928	-0.3164063:4.886719:-16.75195	0.1582031:8.305664:-11.76416	-1.990479:12.45179:-32.46496	Grasped	CupLeft	
-1.419434:4.398926:-11.29834	0.8217773:5.77002:-11.34229	-0.7382813:5.154785:-16.64209	-0.6328125:8.644043:-11.67188	-1.178935:13.94572:-36.16126	Grasped	CupLeft	
-1.419434:4.398926:-11.29834	0.8217773:5.77002:-11.34229	-0.7382813:5.154785:-16.64209	-0.6328125:8.644043:-11.67188	-1.108021:14.04721:-36.42848	Grasped	CupLeft	
-1.419434:4.398926:-11.29834	0.8217773:5.77002:-11.34229	-0.7382813:5.154785:-16.64209	-0.6328125:8.644043:-11.67188	-1.049039:14.12635:-36.59442	Grasped	CupLeft	
