ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-1.779785:3.348633:-26.41113	0.355957:1.924805:-25.4707	1.041504:1.894043:-30.41455	1.063477:8.028809:-11.79492	-0.09209849:13.53699:-38.02928	Start	Default	
-1.779785:3.348633:-26.41113	0.355957:1.924805:-25.4707	1.041504:1.894043:-30.41455	1.063477:8.028809:-11.79492	-0.09199793:13.53629:-38.02755	Start	Default	
-1.78418:3.32666:-26.39355	0.3427734:1.933594:-25.46631	1.037109:1.898438:-30.41455	1.063477:8.028809:-11.79492	-0.09146679:13.53434:-38.02368	Start	Default	
-1.78418:3.32666:-26.39355	0.3427734:1.933594:-25.46631	1.037109:1.898438:-30.41455	1.063477:8.028809:-11.79492	-0.1273126:13.53242:-38.01365	Start	Default	
-1.78418:3.32666:-26.39355	0.3427734:1.933594:-25.46631	1.037109:1.898438:-30.41455	1.063477:8.028809:-11.79492	-0.1519438:13.53067:-38.00761	Start	Default	
-1.814941:3.304688:-26.38037	0.3295898:1.951172:-25.46191	1.032715:1.889648:-30.41895	1.063477:8.028809:-11.79492	-0.08885969:13.51847:-37.93016	Start	Default	
-1.814941:3.304688:-26.38037	0.3295898:1.951172:-25.46191	1.032715:1.889648:-30.41895	1.063477:8.028809:-11.79492	-0.06927033:13.55621:-37.75309	Start	Default	
-1.814941:3.304688:-26.38037	0.3295898:1.951172:-25.46191	1.032715:1.889648:-30.41895	1.063477:8.028809:-11.79492	-0.08958931:13.599:-37.97007	Start	Default	
-1.83252:3.282715:-26.37598	0.3251953:1.96875:-25.45752	1.02832:1.894043:-30.42334	1.063477:8.028809:-11.79492	-0.08682594:13.61226:-37.89529	Start	Default	
-1.83252:3.282715:-26.37598	0.3251953:1.96875:-25.45752	1.02832:1.894043:-30.42334	1.063477:8.028809:-11.79492	-0.08218174:13.61276:-37.8721	Start	Default	
-1.83252:3.282715:-26.37598	0.3251953:1.96875:-25.45752	1.02832:1.894043:-30.42334	1.063477:8.028809:-11.79492	-0.08172642:13.61099:-37.89537	Start	Default	
-1.83252:3.282715:-26.37598	0.3251953:1.96875:-25.45752	1.02832:1.894043:-30.42334	1.063477:8.028809:-11.79492	-0.08222597:13.60857:-37.90002	Start	Default	
-1.83252:3.282715:-26.37598	0.3251953:1.96875:-25.45752	1.02832:1.894043:-30.42334	1.063477:8.028809:-11.79492	-0.08360035:13.60887:-37.9201	Start	Default	
-1.83252:3.287109:-26.38916	0.3251953:1.964355:-25.45752	1.02832:1.898438:-30.42773	1.063477:8.028809:-11.79492	-0.08420599:13.60658:-37.93102	Start	Default	
-1.83252:3.287109:-26.38916	0.3251953:1.964355:-25.45752	1.02832:1.898438:-30.42773	1.063477:8.028809:-11.79492	-0.1133854:13.60727:-37.93529	Start	Default	
-1.83252:3.287109:-26.38916	0.3251953:1.964355:-25.45752	1.02832:1.898438:-30.42773	1.063477:8.028809:-11.79492	-0.1218845:13.58276:-37.90638	Start	Default	
